feature,importance,fold
pct_loans_from_community_banks,0.018939156,F1
pct_loans_from_top4_banks,0.019040199,F1
pct_loans_under_100k,0.017298546,F1
pct_loans_under_250k,0.04198735,F1
top1_lender_share_tract,0.020171804,F1
top3_lender_share_tract,0.39771268,F1
lender_hhi_tract,0.10026832,F1
distance_to_nearest_bank_branch,0.05963626,F1
branches_within_5mi,0.036467284,F1
branch_closures_3y_within_10mi,0.025150478,F1
pct_loans_from_credit_unions,0.03317812,F1
cdfi_within_10mi,0.0,F1
mdi_branches_within_10mi,0.0,F1
microloan_intermediary_within_25mi,0.02362697,F1
pct_loans_from_community_banks_lag2to5_mean,0.014347076,F1
pct_loans_from_top4_banks_lag2to5_mean,0.012774764,F1
pct_loans_from_credit_unions_lag2to5_mean,0.00839252,F1
pct_loans_under_100k_lag2to5_mean,0.019585714,F1
pct_loans_under_250k_lag2to5_mean,0.023351103,F1
top1_lender_share_tract_lag2to5_mean,0.009094583,F1
top3_lender_share_tract_lag2to5_mean,0.09267852,F1
lender_hhi_tract_lag2to5_mean,0.026298374,F1
