feature,importance,fold
pct_loans_from_community_banks,0.02426909,F6
pct_loans_from_top4_banks,0.011746719,F6
pct_loans_under_100k,0.010013774,F6
pct_loans_under_250k,0.02245011,F6
top1_lender_share_tract,0.018406168,F6
top3_lender_share_tract,0.2605076,F6
lender_hhi_tract,0.19254662,F6
distance_to_nearest_bank_branch,0.20152916,F6
branches_within_5mi,0.030668646,F6
branch_closures_3y_within_10mi,0.015698189,F6
pct_loans_from_credit_unions,0.01845622,F6
cdfi_within_10mi,0.0,F6
mdi_branches_within_10mi,0.0,F6
microloan_intermediary_within_25mi,0.017249614,F6
pct_loans_from_community_banks_lag2to5_mean,0.011880241,F6
pct_loans_from_top4_banks_lag2to5_mean,0.007897801,F6
pct_loans_from_credit_unions_lag2to5_mean,0.037206735,F6
pct_loans_under_100k_lag2to5_mean,0.011568487,F6
pct_loans_under_250k_lag2to5_mean,0.013343119,F6
top1_lender_share_tract_lag2to5_mean,0.008716392,F6
top3_lender_share_tract_lag2to5_mean,0.067287974,F6
lender_hhi_tract_lag2to5_mean,0.018557373,F6
