feature,importance,fold
pct_loans_from_community_banks,0.027865931,F7
pct_loans_from_top4_banks,0.017879756,F7
pct_loans_under_100k,0.012399574,F7
pct_loans_under_250k,0.017739287,F7
top1_lender_share_tract,0.022048691,F7
top3_lender_share_tract,0.24944696,F7
lender_hhi_tract,0.16046353,F7
distance_to_nearest_bank_branch,0.15777972,F7
branches_within_5mi,0.025489667,F7
branch_closures_3y_within_10mi,0.024522284,F7
pct_loans_from_credit_unions,0.025938569,F7
cdfi_within_10mi,0.0,F7
mdi_branches_within_10mi,0.0,F7
microloan_intermediary_within_25mi,0.017612532,F7
pct_loans_from_community_banks_lag2to5_mean,0.012222196,F7
pct_loans_from_top4_banks_lag2to5_mean,0.011210354,F7
pct_loans_from_credit_unions_lag2to5_mean,0.052761577,F7
pct_loans_under_100k_lag2to5_mean,0.014121236,F7
pct_loans_under_250k_lag2to5_mean,0.014910102,F7
top1_lender_share_tract_lag2to5_mean,0.013928332,F7
top3_lender_share_tract_lag2to5_mean,0.10059661,F7
lender_hhi_tract_lag2to5_mean,0.021063225,F7
