feature,importance,fold
pct_loans_from_community_banks,0.032507878,F4
pct_loans_from_top4_banks,0.018877761,F4
pct_loans_under_100k,0.030035958,F4
pct_loans_under_250k,0.019408358,F4
top1_lender_share_tract,0.02231876,F4
top3_lender_share_tract,0.31571707,F4
lender_hhi_tract,0.12103031,F4
distance_to_nearest_bank_branch,0.12103103,F4
branches_within_5mi,0.028201483,F4
branch_closures_3y_within_10mi,0.021459753,F4
pct_loans_from_credit_unions,0.027028192,F4
cdfi_within_10mi,0.0,F4
mdi_branches_within_10mi,0.0,F4
microloan_intermediary_within_25mi,0.015509392,F4
pct_loans_from_community_banks_lag2to5_mean,0.012994966,F4
pct_loans_from_top4_banks_lag2to5_mean,0.013290909,F4
pct_loans_from_credit_unions_lag2to5_mean,0.036503,F4
pct_loans_under_100k_lag2to5_mean,0.018502535,F4
pct_loans_under_250k_lag2to5_mean,0.01616837,F4
top1_lender_share_tract_lag2to5_mean,0.012116838,F4
top3_lender_share_tract_lag2to5_mean,0.098637916,F4
lender_hhi_tract_lag2to5_mean,0.018659504,F4
