fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
F1,2009-2014,2015,2016-2017,488147,94584,170106,29,0.9366452414181032,0.48118293957868014,0.8793410233534023,0.17878086959738265,10.537664103857372,0.01557639054954052,0.01507534459233284,0.016965891855666465
F2,2009-2015,2016,2017-2018,582731,85797,168196,183,0.9108244890964985,0.27459595715712776,0.9002487924386908,0.19566239603828334,12.855325142209026,0.013426166959106922,0.013415556401014328,0.015220338176888868
F3,2009-2016,2017,2018-2019,668528,84309,163614,203,0.9075874367106656,0.25904509241797125,0.9104838852981763,0.3122689204786318,21.025336277856322,0.01195621769875288,0.011944052763283253,0.014852029777402912
F4,2009-2017,2018,2019-2020,752837,83887,158588,133,0.9013970374039876,0.15285235717920395,0.9080147152079572,0.35709435513174415,24.420387922222094,0.011619082652032375,0.01198712456971407,0.014622796176255455
F5,2009-2018,2019,2020-2021,836724,79727,157747,75,0.9178059219310436,0.4438775812130064,0.788447656004908,0.17796300042295526,6.270522543605076,0.02659783326089382,0.02597447857260704,0.028380888384565157
F6,2009-2019,2020,2021-2022,916451,78861,157316,2,0.8669580816940221,0.18310216357212045,0.7371658205882486,0.18777294291189162,5.079038563811407,0.035693734884262085,0.034476377069950104,0.03697017468026138
F7,2009-2020,2021,2022-2023,995312,78886,155554,114,0.7896490310108213,0.26932284629249875,0.8388197299944167,0.14553577447147556,5.652602212768017,0.02500583976507187,0.02467203326523304,0.025746686038288953
F8,2009-2021,2022,2023-2024,1074198,78430,77124,1,0.8049591514090537,0.13908994190215662,0.7685676560633645,0.08417331752014202,3.7266262574187334,0.02200886607170105,0.022102320566773415,0.02258700274882008
