feature,importance,fold
pct_loans_from_community_banks,0.016265322,F8
pct_loans_from_top4_banks,0.0098086195,F8
pct_loans_under_100k,0.011922327,F8
pct_loans_under_250k,0.020525614,F8
top1_lender_share_tract,0.02512086,F8
top3_lender_share_tract,0.3075207,F8
lender_hhi_tract,0.0802022,F8
distance_to_nearest_bank_branch,0.18092391,F8
branches_within_5mi,0.020983864,F8
branch_closures_3y_within_10mi,0.062951446,F8
pct_loans_from_credit_unions,0.021100618,F8
cdfi_within_10mi,0.0,F8
mdi_branches_within_10mi,0.0,F8
microloan_intermediary_within_25mi,0.016914727,F8
pct_loans_from_community_banks_lag2to5_mean,0.010448601,F8
pct_loans_from_top4_banks_lag2to5_mean,0.008751926,F8
pct_loans_from_credit_unions_lag2to5_mean,0.05445724,F8
pct_loans_under_100k_lag2to5_mean,0.009747066,F8
pct_loans_under_250k_lag2to5_mean,0.011414204,F8
top1_lender_share_tract_lag2to5_mean,0.013641133,F8
top3_lender_share_tract_lag2to5_mean,0.10207,F8
lender_hhi_tract_lag2to5_mean,0.01522968,F8
