feature,importance,fold
pct_loans_from_community_banks,0.034977816,F3
pct_loans_from_top4_banks,0.018765228,F3
pct_loans_under_100k,0.0395015,F3
pct_loans_under_250k,0.023590347,F3
top1_lender_share_tract,0.023801161,F3
top3_lender_share_tract,0.32511717,F3
lender_hhi_tract,0.09825987,F3
distance_to_nearest_bank_branch,0.09530077,F3
branches_within_5mi,0.02913362,F3
branch_closures_3y_within_10mi,0.021964163,F3
pct_loans_from_credit_unions,0.02702128,F3
cdfi_within_10mi,0.0,F3
mdi_branches_within_10mi,0.0,F3
microloan_intermediary_within_25mi,0.015900169,F3
pct_loans_from_community_banks_lag2to5_mean,0.014531136,F3
pct_loans_from_top4_banks_lag2to5_mean,0.015042805,F3
pct_loans_from_credit_unions_lag2to5_mean,0.035105582,F3
pct_loans_under_100k_lag2to5_mean,0.022192955,F3
pct_loans_under_250k_lag2to5_mean,0.018705364,F3
top1_lender_share_tract_lag2to5_mean,0.014076018,F3
top3_lender_share_tract_lag2to5_mean,0.10364351,F3
lender_hhi_tract_lag2to5_mean,0.023369502,F3
