feature,importance,fold
pct_loans_from_community_banks,0.030505672,F2
pct_loans_from_top4_banks,0.023387626,F2
pct_loans_under_100k,0.03470532,F2
pct_loans_under_250k,0.02181421,F2
top1_lender_share_tract,0.020860037,F2
top3_lender_share_tract,0.33256558,F2
lender_hhi_tract,0.09778168,F2
distance_to_nearest_bank_branch,0.101868935,F2
branches_within_5mi,0.029692527,F2
branch_closures_3y_within_10mi,0.021772496,F2
pct_loans_from_credit_unions,0.03168185,F2
cdfi_within_10mi,0.0,F2
mdi_branches_within_10mi,0.0,F2
microloan_intermediary_within_25mi,0.017211061,F2
pct_loans_from_community_banks_lag2to5_mean,0.015282651,F2
pct_loans_from_top4_banks_lag2to5_mean,0.013369222,F2
pct_loans_from_credit_unions_lag2to5_mean,0.030895546,F2
pct_loans_under_100k_lag2to5_mean,0.018802961,F2
pct_loans_under_250k_lag2to5_mean,0.020267893,F2
top1_lender_share_tract_lag2to5_mean,0.012242969,F2
top3_lender_share_tract_lag2to5_mean,0.104250096,F2
lender_hhi_tract_lag2to5_mean,0.021041619,F2
