k,mean_test_auc,std_test_auc,mean_test_ap,n_folds_at_or_above_ap_010,features
3,0.738809091761082,0.07346308012815679,0.11647103010642407,6,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid"
5,0.7362546485522492,0.06921208290639327,0.10916095016124065,5,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active"
7,0.780192747957684,0.05626401524024857,0.1289449694725029,6,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active,top3_lender_share_tract_resid,branches_within_5mi"
10,0.7733421349506018,0.05407705025202596,0.10774859812891557,5,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active,top3_lender_share_tract_resid,branches_within_5mi,pct_loans_under_250k_resid,mdi_branches_within_10mi,pct_loans_from_community_banks_resid"
14,0.7906333149021592,0.04710586605550431,0.112982701274492,6,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active,top3_lender_share_tract_resid,branches_within_5mi,pct_loans_under_250k_resid,mdi_branches_within_10mi,pct_loans_from_community_banks_resid,nearest_mdi_branch_miles,top1_lender_share_tract_resid,branch_closures_3y_within_10mi,ssbci_program_count"
18,0.7923732241931805,0.05564820641868025,0.11746057311082486,5,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active,top3_lender_share_tract_resid,branches_within_5mi,pct_loans_under_250k_resid,mdi_branches_within_10mi,pct_loans_from_community_banks_resid,nearest_mdi_branch_miles,top1_lender_share_tract_resid,branch_closures_3y_within_10mi,ssbci_program_count,mdi_branches_within_25mi,pct_loans_under_100k_resid,microloan_intermediary_within_25mi,mdi_active_in_county"
20,0.790945552327411,0.047459993442545576,0.110782662109645,6,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active,top3_lender_share_tract_resid,branches_within_5mi,pct_loans_under_250k_resid,mdi_branches_within_10mi,pct_loans_from_community_banks_resid,nearest_mdi_branch_miles,top1_lender_share_tract_resid,branch_closures_3y_within_10mi,ssbci_program_count,mdi_branches_within_25mi,pct_loans_under_100k_resid,microloan_intermediary_within_25mi,mdi_active_in_county,ssbci_n_capital_programs,ssbci_2_0_active"
20,0.790945552327411,0.047459993442545576,0.110782662109645,6,"distance_to_nearest_bank_branch,lender_hhi_tract_resid,pct_loans_from_top4_banks_resid,pct_loans_from_credit_unions_resid,ssbci_active,top3_lender_share_tract_resid,branches_within_5mi,pct_loans_under_250k_resid,mdi_branches_within_10mi,pct_loans_from_community_banks_resid,nearest_mdi_branch_miles,top1_lender_share_tract_resid,branch_closures_3y_within_10mi,ssbci_program_count,mdi_branches_within_25mi,pct_loans_under_100k_resid,microloan_intermediary_within_25mi,mdi_active_in_county,ssbci_n_capital_programs,ssbci_2_0_active"
