feature,importance,fold
pct_loans_from_community_banks,0.060770545,F4
pct_loans_from_top4_banks,0.020667193,F4
pct_loans_under_100k,0.020625353,F4
pct_loans_under_250k,0.022279942,F4
top1_lender_share_tract,0.031789295,F4
top3_lender_share_tract,0.20261656,F4
lender_hhi_tract,0.15438864,F4
distance_to_nearest_bank_branch,0.14737691,F4
branches_within_5mi,0.024378391,F4
branch_closures_3y_within_10mi,0.018050946,F4
pct_loans_from_credit_unions,0.057349917,F4
microloan_intermediary_within_25mi,0.027825875,F4
mdi_branches_within_10mi,0.061082143,F4
mdi_branches_within_25mi,0.031354472,F4
nearest_mdi_branch_miles,0.012034866,F4
mdi_active_in_county,0.010738114,F4
nmtc_dollars_5yr_lag2to6,0.0,F4
nmtc_dollars_3yr_lag2to4,0.0,F4
nmtc_projects_5yr_lag2to6,0.0,F4
nmtc_received_5yr_lag2to6,0.0,F4
nmtc_dollars_county_5yr_lag2to6,0.0016295395,F4
ssbci_active,0.052573796,F4
ssbci_2_0_active,0.0,F4
ssbci_program_count,0.042467467,F4
ssbci_n_capital_programs,0.0,F4
