feature,importance,fold
pct_loans_from_community_banks,0.059479762,F5
pct_loans_from_top4_banks,0.020203797,F5
pct_loans_under_100k,0.019568892,F5
pct_loans_under_250k,0.029877687,F5
top1_lender_share_tract,0.034593668,F5
top3_lender_share_tract,0.19928753,F5
lender_hhi_tract,0.16847467,F5
distance_to_nearest_bank_branch,0.115764245,F5
branches_within_5mi,0.02078459,F5
branch_closures_3y_within_10mi,0.016465535,F5
pct_loans_from_credit_unions,0.06237268,F5
microloan_intermediary_within_25mi,0.027423104,F5
mdi_branches_within_10mi,0.03837641,F5
mdi_branches_within_25mi,0.03290469,F5
nearest_mdi_branch_miles,0.013739068,F5
mdi_active_in_county,0.008840728,F5
nmtc_dollars_5yr_lag2to6,0.007298977,F5
nmtc_dollars_3yr_lag2to4,0.0,F5
nmtc_projects_5yr_lag2to6,0.0,F5
nmtc_received_5yr_lag2to6,0.0,F5
nmtc_dollars_county_5yr_lag2to6,0.0047703283,F5
ssbci_active,0.0476744,F5
ssbci_2_0_active,0.0,F5
ssbci_program_count,0.072099246,F5
ssbci_n_capital_programs,0.0,F5
