feature,importance,fold
pct_loans_from_community_banks,0.037074193,F1
pct_loans_from_top4_banks,0.023909561,F1
pct_loans_under_100k,0.016196135,F1
pct_loans_under_250k,0.042328555,F1
top1_lender_share_tract,0.025563227,F1
top3_lender_share_tract,0.32757005,F1
lender_hhi_tract,0.10333821,F1
distance_to_nearest_bank_branch,0.11244094,F1
branches_within_5mi,0.026044259,F1
branch_closures_3y_within_10mi,0.018637072,F1
pct_loans_from_credit_unions,0.039204676,F1
microloan_intermediary_within_25mi,0.029366462,F1
mdi_branches_within_10mi,0.033188123,F1
mdi_branches_within_25mi,0.022767307,F1
nearest_mdi_branch_miles,0.012250486,F1
mdi_active_in_county,0.01095136,F1
nmtc_dollars_5yr_lag2to6,0.0,F1
nmtc_dollars_3yr_lag2to4,0.0,F1
nmtc_projects_5yr_lag2to6,0.0,F1
nmtc_received_5yr_lag2to6,0.0,F1
nmtc_dollars_county_5yr_lag2to6,0.00064089696,F1
ssbci_active,0.066262916,F1
ssbci_2_0_active,0.0,F1
ssbci_program_count,0.052265607,F1
ssbci_n_capital_programs,0.0,F1
