feature,importance,fold
pct_loans_from_community_banks,0.052964047,F7
pct_loans_from_top4_banks,0.023884302,F7
pct_loans_under_100k,0.020853236,F7
pct_loans_under_250k,0.024279967,F7
top1_lender_share_tract,0.040836338,F7
top3_lender_share_tract,0.16328108,F7
lender_hhi_tract,0.23554677,F7
distance_to_nearest_bank_branch,0.11542579,F7
branches_within_5mi,0.020731512,F7
branch_closures_3y_within_10mi,0.023743143,F7
pct_loans_from_credit_unions,0.069294326,F7
microloan_intermediary_within_25mi,0.025289327,F7
mdi_branches_within_10mi,0.022994973,F7
mdi_branches_within_25mi,0.034695264,F7
nearest_mdi_branch_miles,0.015793955,F7
mdi_active_in_county,0.009459384,F7
nmtc_dollars_5yr_lag2to6,0.008983735,F7
nmtc_dollars_3yr_lag2to4,0.006896144,F7
nmtc_projects_5yr_lag2to6,0.006758633,F7
nmtc_received_5yr_lag2to6,0.0,F7
nmtc_dollars_county_5yr_lag2to6,0.008624001,F7
ssbci_active,0.036600716,F7
ssbci_2_0_active,0.0,F7
ssbci_program_count,0.022589426,F7
ssbci_n_capital_programs,0.010474056,F7
