feature,importance,fold
pct_loans_from_community_banks,0.0628617,F6
pct_loans_from_top4_banks,0.01744187,F6
pct_loans_under_100k,0.01587973,F6
pct_loans_under_250k,0.024154533,F6
top1_lender_share_tract,0.027853502,F6
top3_lender_share_tract,0.18572561,F6
lender_hhi_tract,0.20357114,F6
distance_to_nearest_bank_branch,0.22925429,F6
branches_within_5mi,0.024788773,F6
branch_closures_3y_within_10mi,0.01648907,F6
pct_loans_from_credit_unions,0.04477508,F6
microloan_intermediary_within_25mi,0.02240677,F6
mdi_branches_within_10mi,0.031242834,F6
mdi_branches_within_25mi,0.030225765,F6
nearest_mdi_branch_miles,0.01027051,F6
mdi_active_in_county,0.0,F6
nmtc_dollars_5yr_lag2to6,0.0,F6
nmtc_dollars_3yr_lag2to4,0.0,F6
nmtc_projects_5yr_lag2to6,0.0,F6
nmtc_received_5yr_lag2to6,0.0,F6
nmtc_dollars_county_5yr_lag2to6,0.00047411743,F6
ssbci_active,0.036794316,F6
ssbci_2_0_active,0.0,F6
ssbci_program_count,0.01579039,F6
ssbci_n_capital_programs,0.0,F6
