feature,importance,fold
pct_loans_from_community_banks,0.04504299,F2
pct_loans_from_top4_banks,0.025115225,F2
pct_loans_under_100k,0.035667464,F2
pct_loans_under_250k,0.026734069,F2
top1_lender_share_tract,0.027998945,F2
top3_lender_share_tract,0.23919244,F2
lender_hhi_tract,0.115108065,F2
distance_to_nearest_bank_branch,0.08396651,F2
branches_within_5mi,0.022037297,F2
branch_closures_3y_within_10mi,0.017858194,F2
pct_loans_from_credit_unions,0.050499965,F2
microloan_intermediary_within_25mi,0.02462696,F2
mdi_branches_within_10mi,0.0383925,F2
mdi_branches_within_25mi,0.025803193,F2
nearest_mdi_branch_miles,0.013360285,F2
mdi_active_in_county,0.020519165,F2
nmtc_dollars_5yr_lag2to6,0.007453816,F2
nmtc_dollars_3yr_lag2to4,0.0067677666,F2
nmtc_projects_5yr_lag2to6,0.0073992116,F2
nmtc_received_5yr_lag2to6,0.0,F2
nmtc_dollars_county_5yr_lag2to6,0.0084497,F2
ssbci_active,0.08208571,F2
ssbci_2_0_active,0.0,F2
ssbci_program_count,0.06877895,F2
ssbci_n_capital_programs,0.007141543,F2
