feature,importance,fold
pct_loans_from_community_banks,0.047981434,F3
pct_loans_from_top4_banks,0.022688515,F3
pct_loans_under_100k,0.0371987,F3
pct_loans_under_250k,0.026405068,F3
top1_lender_share_tract,0.035233036,F3
top3_lender_share_tract,0.20484325,F3
lender_hhi_tract,0.14716394,F3
distance_to_nearest_bank_branch,0.10437212,F3
branches_within_5mi,0.02088168,F3
branch_closures_3y_within_10mi,0.017752355,F3
pct_loans_from_credit_unions,0.0508145,F3
microloan_intermediary_within_25mi,0.024861392,F3
mdi_branches_within_10mi,0.04895451,F3
mdi_branches_within_25mi,0.027062323,F3
nearest_mdi_branch_miles,0.013352466,F3
mdi_active_in_county,0.020097721,F3
nmtc_dollars_5yr_lag2to6,0.0074620037,F3
nmtc_dollars_3yr_lag2to4,0.0062031895,F3
nmtc_projects_5yr_lag2to6,0.0028848404,F3
nmtc_received_5yr_lag2to6,0.0,F3
nmtc_dollars_county_5yr_lag2to6,0.007978453,F3
ssbci_active,0.073619835,F3
ssbci_2_0_active,0.0,F3
ssbci_program_count,0.05218872,F3
ssbci_n_capital_programs,0.0,F3
