feature,importance,fold
pct_loans_from_community_banks_resid,0.028327353,F5
pct_loans_from_top4_banks_resid,0.052128803,F5
pct_loans_from_credit_unions_resid,0.08228547,F5
pct_loans_under_100k_resid,0.019066598,F5
pct_loans_under_250k_resid,0.03415521,F5
top1_lender_share_tract_resid,0.028179634,F5
top3_lender_share_tract_resid,0.056512214,F5
lender_hhi_tract_resid,0.056301102,F5
distance_to_nearest_bank_branch,0.19281681,F5
branches_within_5mi,0.029478887,F5
branch_closures_3y_within_10mi,0.016807048,F5
microloan_intermediary_within_25mi,0.025831971,F5
mdi_branches_within_10mi,0.026489645,F5
mdi_branches_within_25mi,0.03316208,F5
nearest_mdi_branch_miles,0.058318246,F5
mdi_active_in_county,0.04602298,F5
ssbci_active,0.17352615,F5
ssbci_2_0_active,0.0,F5
ssbci_program_count,0.04058977,F5
ssbci_n_capital_programs,0.0,F5
