feature,importance,fold
pct_loans_from_community_banks_resid,0.029393222,F1
pct_loans_from_top4_banks_resid,0.05962663,F1
pct_loans_from_credit_unions_resid,0.086348176,F1
pct_loans_under_100k_resid,0.023324795,F1
pct_loans_under_250k_resid,0.050799575,F1
top1_lender_share_tract_resid,0.05068194,F1
top3_lender_share_tract_resid,0.10234997,F1
lender_hhi_tract_resid,0.052654758,F1
distance_to_nearest_bank_branch,0.17890227,F1
branches_within_5mi,0.025796246,F1
branch_closures_3y_within_10mi,0.022258038,F1
microloan_intermediary_within_25mi,0.02149925,F1
mdi_branches_within_10mi,0.037477694,F1
mdi_branches_within_25mi,0.044875134,F1
nearest_mdi_branch_miles,0.104259804,F1
mdi_active_in_county,0.04163924,F1
ssbci_active,0.03932929,F1
ssbci_2_0_active,0.0,F1
ssbci_program_count,0.010751449,F1
ssbci_n_capital_programs,0.018032543,F1
