feature,importance,fold
pct_loans_from_community_banks_resid,0.019117106,F6
pct_loans_from_top4_banks_resid,0.038406953,F6
pct_loans_from_credit_unions_resid,0.068353154,F6
pct_loans_under_100k_resid,0.018266628,F6
pct_loans_under_250k_resid,0.027477222,F6
top1_lender_share_tract_resid,0.026828712,F6
top3_lender_share_tract_resid,0.05335348,F6
lender_hhi_tract_resid,0.049577452,F6
distance_to_nearest_bank_branch,0.2774404,F6
branches_within_5mi,0.025421651,F6
branch_closures_3y_within_10mi,0.014778372,F6
microloan_intermediary_within_25mi,0.014688618,F6
mdi_branches_within_10mi,0.033971913,F6
mdi_branches_within_25mi,0.022782603,F6
nearest_mdi_branch_miles,0.06652947,F6
mdi_active_in_county,0.030318128,F6
ssbci_active,0.16196178,F6
ssbci_2_0_active,0.0,F6
ssbci_program_count,0.045313783,F6
ssbci_n_capital_programs,0.0054126154,F6
