feature,importance,fold
pct_loans_from_community_banks_resid,0.022377424,F2
pct_loans_from_top4_banks_resid,0.056827188,F2
pct_loans_from_credit_unions_resid,0.09522162,F2
pct_loans_under_100k_resid,0.026732739,F2
pct_loans_under_250k_resid,0.036443945,F2
top1_lender_share_tract_resid,0.03226962,F2
top3_lender_share_tract_resid,0.07524955,F2
lender_hhi_tract_resid,0.06455649,F2
distance_to_nearest_bank_branch,0.28082874,F2
branches_within_5mi,0.024297524,F2
branch_closures_3y_within_10mi,0.033866215,F2
microloan_intermediary_within_25mi,0.017282106,F2
mdi_branches_within_10mi,0.024871655,F2
mdi_branches_within_25mi,0.034838784,F2
nearest_mdi_branch_miles,0.09237878,F2
mdi_active_in_county,0.0,F2
ssbci_active,0.057540864,F2
ssbci_2_0_active,0.0,F2
ssbci_program_count,0.024416767,F2
ssbci_n_capital_programs,0.0,F2
