feature,importance,fold
pct_loans_from_community_banks_resid,0.019350829,F3
pct_loans_from_top4_banks_resid,0.041348565,F3
pct_loans_from_credit_unions_resid,0.07130333,F3
pct_loans_under_100k_resid,0.018603293,F3
pct_loans_under_250k_resid,0.036408197,F3
top1_lender_share_tract_resid,0.03133733,F3
top3_lender_share_tract_resid,0.052932594,F3
lender_hhi_tract_resid,0.040843632,F3
distance_to_nearest_bank_branch,0.33122796,F3
branches_within_5mi,0.025169013,F3
branch_closures_3y_within_10mi,0.022923242,F3
microloan_intermediary_within_25mi,0.014922077,F3
mdi_branches_within_10mi,0.021966975,F3
mdi_branches_within_25mi,0.024835782,F3
nearest_mdi_branch_miles,0.077657685,F3
mdi_active_in_county,0.015133946,F3
ssbci_active,0.13843471,F3
ssbci_2_0_active,0.0,F3
ssbci_program_count,0.015600919,F3
ssbci_n_capital_programs,0.0,F3
