feature,importance,fold
pct_loans_from_community_banks_resid,0.032406576,F7
pct_loans_from_top4_banks_resid,0.049228143,F7
pct_loans_from_credit_unions_resid,0.109939955,F7
pct_loans_under_100k_resid,0.019167382,F7
pct_loans_under_250k_resid,0.029667314,F7
top1_lender_share_tract_resid,0.031291757,F7
top3_lender_share_tract_resid,0.054609433,F7
lender_hhi_tract_resid,0.06756394,F7
distance_to_nearest_bank_branch,0.209581,F7
branches_within_5mi,0.022849899,F7
branch_closures_3y_within_10mi,0.019422362,F7
microloan_intermediary_within_25mi,0.021200623,F7
mdi_branches_within_10mi,0.023386633,F7
mdi_branches_within_25mi,0.032332715,F7
nearest_mdi_branch_miles,0.059619922,F7
mdi_active_in_county,0.03289492,F7
ssbci_active,0.1056475,F7
ssbci_2_0_active,0.0,F7
ssbci_program_count,0.04774338,F7
ssbci_n_capital_programs,0.031446494,F7
