feature,importance,fold
pct_loans_from_community_banks_resid,0.028995069,F8
pct_loans_from_top4_banks_resid,0.045368627,F8
pct_loans_from_credit_unions_resid,0.08321117,F8
pct_loans_under_100k_resid,0.016549354,F8
pct_loans_under_250k_resid,0.022893347,F8
top1_lender_share_tract_resid,0.028738715,F8
top3_lender_share_tract_resid,0.053694047,F8
lender_hhi_tract_resid,0.05480109,F8
distance_to_nearest_bank_branch,0.24163847,F8
branches_within_5mi,0.021450283,F8
branch_closures_3y_within_10mi,0.09877006,F8
microloan_intermediary_within_25mi,0.020647362,F8
mdi_branches_within_10mi,0.021109048,F8
mdi_branches_within_25mi,0.029750299,F8
nearest_mdi_branch_miles,0.056235034,F8
mdi_active_in_county,0.07246098,F8
ssbci_active,0.041444596,F8
ssbci_2_0_active,0.0,F8
ssbci_program_count,0.045160793,F8
ssbci_n_capital_programs,0.017081626,F8
