feature,importance,fold
pct_loans_from_community_banks_resid,0.029752377,F4
pct_loans_from_top4_banks_resid,0.051544778,F4
pct_loans_from_credit_unions_resid,0.08701703,F4
pct_loans_under_100k_resid,0.01987913,F4
pct_loans_under_250k_resid,0.02521749,F4
top1_lender_share_tract_resid,0.027556706,F4
top3_lender_share_tract_resid,0.059419945,F4
lender_hhi_tract_resid,0.053908635,F4
distance_to_nearest_bank_branch,0.1551852,F4
branches_within_5mi,0.02370599,F4
branch_closures_3y_within_10mi,0.0174714,F4
microloan_intermediary_within_25mi,0.022892855,F4
mdi_branches_within_10mi,0.028056553,F4
mdi_branches_within_25mi,0.029586108,F4
nearest_mdi_branch_miles,0.05880316,F4
mdi_active_in_county,0.03146982,F4
ssbci_active,0.18282971,F4
ssbci_2_0_active,0.0,F4
ssbci_program_count,0.076266706,F4
ssbci_n_capital_programs,0.019436281,F4
