fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
F1,2009-2010,2011,2012-2013,1198055,246325,393582,127,0.8386738037438405,0.4277995840862571,0.8559997099093236,0.5089634850749208,35.63124624382026,0.008293655700981617,0.008282084949314594,0.014284189825754226
F2,2009-2011,2012,2013-2014,1444380,249889,246063,85,0.879575373593863,0.5740286680213719,0.8403538731685674,0.4999271636743988,26.386438797772115,0.011261574923992157,0.011234927922487259,0.018946367393716242
F3,2009-2012,2013,2014-2015,1694269,143693,200315,394,0.9437271531415858,0.4971601888606236,0.9582494866369198,0.7012909245936372,29.718445432615706,0.01074982713907957,0.011716985143721104,0.023597833412375507
F4,2009-2013,2014,2015-2016,1837962,102370,184700,380,0.9586225396008864,0.6736701248098856,0.8925727130123035,0.5122201749344747,14.384531900623001,0.024017196148633957,0.02339830808341503,0.03560909583107742
F5,2009-2014,2015,2016-2017,1940332,97945,171646,380,0.970453903765383,0.7792812502287118,0.8430003045041323,0.365546266263892,7.340261396716425,0.04094377160072327,0.0403292179107666,0.04980017011756755
F6,2009-2015,2016,2017-2018,2038277,86755,168132,175,0.8530197230210692,0.40055903014727157,0.8372770269024108,0.34520364260320535,7.151278811996319,0.04027293249964714,0.037670060992240906,0.04827159612685271
