regime,train_years,test_years,n_test,test_pos_rate,test_auc,test_ap,test_ap_lift,test_brier_calibrated
precovid,2009-2011,2012-2013,393582,0.014284189825754226,0.9197084234296141,0.4921801084454084,34.45628449700475,0.00854301918298006
postcovid,2014-2015,2017-2018,168132,0.04827159612685271,0.7739057241854671,0.321997630552445,6.6705403671813315,0.03813248127698898
