feature,importance,regime,rank
distance_to_nearest_bank_branch,0.4724527,precovid,1
nearest_mdi_branch_miles,0.0861327,precovid,2
top3_lender_share_tract_resid,0.047200195,precovid,3
mdi_branches_within_10mi,0.044262346,precovid,4
mdi_branches_within_25mi,0.043237474,precovid,5
pct_loans_under_250k_resid,0.03539754,precovid,6
lender_hhi_tract_resid,0.03407923,precovid,7
branches_within_5mi,0.031709194,precovid,8
ssbci_n_capital_programs,0.028504407,precovid,9
pct_loans_from_top4_banks_resid,0.027837785,precovid,10
pct_loans_from_credit_unions_resid,0.027774757,precovid,11
branch_closures_3y_within_10mi,0.019164627,precovid,12
mdi_active_in_county,0.018737847,precovid,13
pct_loans_from_community_banks_resid,0.016377587,precovid,14
top1_lender_share_tract_resid,0.016343249,precovid,15
ssbci_active,0.015296515,precovid,16
microloan_intermediary_within_25mi,0.014576615,precovid,17
pct_loans_under_100k_resid,0.011824664,precovid,18
ssbci_program_count,0.009090717,precovid,19
ssbci_2_0_active,0.0,precovid,20
