feature,importance,regime,rank
distance_to_nearest_bank_branch,0.73102885,postcovid,1
branches_within_5mi,0.083369814,postcovid,2
lender_hhi_tract_resid,0.03624877,postcovid,3
branch_closures_3y_within_10mi,0.03431351,postcovid,4
nearest_mdi_branch_miles,0.016613541,postcovid,5
pct_loans_from_top4_banks_resid,0.015086233,postcovid,6
mdi_active_in_county,0.013331258,postcovid,7
mdi_branches_within_25mi,0.011408892,postcovid,8
top3_lender_share_tract_resid,0.011281121,postcovid,9
pct_loans_from_community_banks_resid,0.010073978,postcovid,10
top1_lender_share_tract_resid,0.00898992,postcovid,11
pct_loans_under_100k_resid,0.008566095,postcovid,12
microloan_intermediary_within_25mi,0.006835888,postcovid,13
mdi_branches_within_10mi,0.006551364,postcovid,14
pct_loans_under_250k_resid,0.0063007628,postcovid,15
pct_loans_from_credit_unions_resid,0.0,postcovid,16
ssbci_active,0.0,postcovid,17
ssbci_2_0_active,0.0,postcovid,18
ssbci_program_count,0.0,postcovid,19
ssbci_n_capital_programs,0.0,postcovid,20
