lever_dropped,n_features,mean_test_auc,std_test_auc,mean_test_ap,std_test_ap,mean_test_ap_lift,mean_test_brier_calibrated,delta_auc_vs_full,delta_ap_vs_full
residualized_concentration,17,0.7433510456546052,0.0893402708541434,0.21836517126228286,0.09612411590520706,8.938862818015487,0.027566537028178573,-0.07707763628771969,-0.06348769089915082
mdi_mission_lender,16,0.8203756626804948,0.04878132125095062,0.25396414286451835,0.08904698094098186,10.001255881721388,0.026769692893140018,-5.301926183010064e-05,-0.027888719296915332
microlender_ecosystem,19,0.8283029868933909,0.05381647736292036,0.2624842646336235,0.09450125042029593,10.386934432343573,0.026626163511537015,0.007874304951066002,-0.019368597527810172
branch_access,17,0.8248925893485235,0.05774047067025773,0.2647842057553166,0.09312503416542252,10.601997258830867,0.026793123804964125,0.0044639074061986195,-0.0170686564061171
residualized_loan_size,18,0.825619519540447,0.0483722873771598,0.26958213816396304,0.08894040268888753,10.630239694130378,0.02652179845608771,0.005190837598122111,-0.012270723997470645
residualized_lender_mix,17,0.8189441815463185,0.05514807797666153,0.2714105582009374,0.09065810652772097,10.871102408296261,0.026573260664008558,-0.0014845003960063385,-0.01044230396049628
none_baseline,20,0.8204286819423249,0.04560574849413607,0.2818528621614337,0.08536190584994754,11.10609843258053,0.02639840974006802,0.0,0.0
ssbci_state_policy,16,0.8115343248980388,0.06861854133223069,0.2944924456615882,0.07973163633572457,11.69933609711869,0.0261097252368927,-0.008894357044286094,0.012639583500154539
