feature,importance,fold
pct_loans_from_community_banks_resid,0.017856535,F3
pct_loans_from_top4_banks_resid,0.025723083,F3
pct_loans_from_credit_unions_resid,0.04770286,F3
pct_loans_under_100k_resid,0.0151058985,F3
pct_loans_under_250k_resid,0.036375348,F3
top1_lender_share_tract_resid,0.01978541,F3
top3_lender_share_tract_resid,0.047982346,F3
lender_hhi_tract_resid,0.04022888,F3
distance_to_nearest_bank_branch,0.45020017,F3
branches_within_5mi,0.028218906,F3
branch_closures_3y_within_10mi,0.024290457,F3
microloan_intermediary_within_25mi,0.018575093,F3
mdi_branches_within_10mi,0.021713685,F3
mdi_branches_within_25mi,0.041221388,F3
nearest_mdi_branch_miles,0.084822536,F3
mdi_active_in_county,0.03468311,F3
ssbci_active,0.022458961,F3
ssbci_2_0_active,0.0,F3
ssbci_program_count,0.012825255,F3
ssbci_n_capital_programs,0.010230081,F3
