feature,importance,fold
pct_loans_from_community_banks_resid,0.016377587,F2
pct_loans_from_top4_banks_resid,0.027837785,F2
pct_loans_from_credit_unions_resid,0.027774757,F2
pct_loans_under_100k_resid,0.011824664,F2
pct_loans_under_250k_resid,0.03539754,F2
top1_lender_share_tract_resid,0.016343249,F2
top3_lender_share_tract_resid,0.047200195,F2
lender_hhi_tract_resid,0.03407923,F2
distance_to_nearest_bank_branch,0.4724527,F2
branches_within_5mi,0.031709194,F2
branch_closures_3y_within_10mi,0.019164627,F2
microloan_intermediary_within_25mi,0.014576615,F2
mdi_branches_within_10mi,0.044262346,F2
mdi_branches_within_25mi,0.043237474,F2
nearest_mdi_branch_miles,0.0861327,F2
mdi_active_in_county,0.018737847,F2
ssbci_active,0.015296515,F2
ssbci_2_0_active,0.0,F2
ssbci_program_count,0.009090717,F2
ssbci_n_capital_programs,0.028504407,F2
