feature,importance,fold
pct_loans_from_community_banks_resid,0.021039238,F5
pct_loans_from_top4_banks_resid,0.033842646,F5
pct_loans_from_credit_unions_resid,0.062833585,F5
pct_loans_under_100k_resid,0.012874092,F5
pct_loans_under_250k_resid,0.02336077,F5
top1_lender_share_tract_resid,0.017452419,F5
top3_lender_share_tract_resid,0.040341143,F5
lender_hhi_tract_resid,0.04753458,F5
distance_to_nearest_bank_branch,0.41926292,F5
branches_within_5mi,0.025279514,F5
branch_closures_3y_within_10mi,0.0147532085,F5
microloan_intermediary_within_25mi,0.021072421,F5
mdi_branches_within_10mi,0.02139785,F5
mdi_branches_within_25mi,0.034056537,F5
nearest_mdi_branch_miles,0.056120798,F5
mdi_active_in_county,0.031947717,F5
ssbci_active,0.06167667,F5
ssbci_2_0_active,0.0,F5
ssbci_program_count,0.044818237,F5
ssbci_n_capital_programs,0.0103357155,F5
