feature,importance,fold
pct_loans_from_community_banks_resid,0.04034983,F1
pct_loans_from_top4_banks_resid,0.047195807,F1
pct_loans_from_credit_unions_resid,0.0665666,F1
pct_loans_under_100k_resid,0.02449441,F1
pct_loans_under_250k_resid,0.06743182,F1
top1_lender_share_tract_resid,0.030795958,F1
top3_lender_share_tract_resid,0.08584036,F1
lender_hhi_tract_resid,0.06337723,F1
distance_to_nearest_bank_branch,0.27391466,F1
branches_within_5mi,0.035072386,F1
branch_closures_3y_within_10mi,0.021665554,F1
microloan_intermediary_within_25mi,0.023869796,F1
mdi_branches_within_10mi,0.047217283,F1
mdi_branches_within_25mi,0.045563173,F1
nearest_mdi_branch_miles,0.07984152,F1
mdi_active_in_county,0.046803586,F1
ssbci_active,0.0,F1
ssbci_2_0_active,0.0,F1
ssbci_program_count,0.0,F1
ssbci_n_capital_programs,0.0,F1
