feature,importance,fold
pct_loans_from_community_banks_resid,0.023347523,F4
pct_loans_from_top4_banks_resid,0.036749944,F4
pct_loans_from_credit_unions_resid,0.059759483,F4
pct_loans_under_100k_resid,0.016068513,F4
pct_loans_under_250k_resid,0.03278876,F4
top1_lender_share_tract_resid,0.01995183,F4
top3_lender_share_tract_resid,0.045152746,F4
lender_hhi_tract_resid,0.05150732,F4
distance_to_nearest_bank_branch,0.35908824,F4
branches_within_5mi,0.027583051,F4
branch_closures_3y_within_10mi,0.01970973,F4
microloan_intermediary_within_25mi,0.023199072,F4
mdi_branches_within_10mi,0.035735957,F4
mdi_branches_within_25mi,0.037964292,F4
nearest_mdi_branch_miles,0.0587455,F4
mdi_active_in_county,0.051331144,F4
ssbci_active,0.053980697,F4
ssbci_2_0_active,0.0,F4
ssbci_program_count,0.044779815,F4
ssbci_n_capital_programs,0.0025564358,F4
