fold,train_years,val_year,test_years,n_train,n_test,best_iter,test_auc,test_ap,test_ap_lift,test_brier,test_pos_rate
F1,2009-2014,2015,2016-2018,490067,254537,12,0.8716096563241637,0.158479266150869,9.821971504320366,0.015616236800291606,0.01613517877558076
F2,2009-2015,2016,2017-2019,584910,248509,209,0.8970183145105691,0.22019704385026254,13.214428198547427,0.014525059955843678,0.016663380400709832
F3,2009-2016,2017,2018-2020,670892,243138,19,0.8908456180778579,0.22259296100619672,15.050280131569705,0.01401165901871804,0.014789954675945348
F4,2009-2017,2018,2019-2021,755345,238084,509,0.8585486583501999,0.2378902141464911,9.20641315748589,0.02259470763001813,0.025839619630046537
F5,2009-2018,2019,2020-2022,839447,236622,212,0.8188634721119966,0.16206536570684546,5.517731073997869,0.02753132931650548,0.02937174058202534
F6,2009-2019,2020,2021-2023,919401,234775,240,0.8205574316455719,0.17261386090911346,5.2562152003809475,0.03105160297962605,0.032839953146629755
F7,2009-2020,2021,2022-2024,998483,155727,58,0.8028089231131772,0.10689897757362193,4.111399624748684,0.02511369226397101,0.02600062930641443
F8,2009-2021,2022,2023-2024,1077531,77235,80,0.8172604177245034,0.11150990315059195,4.841184581133203,0.021839114250392734,0.023033598757040204
