fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
F1,2009-2012,2013,2014-2015,1694334,143695,200360,24,0.9342043314436401,0.4042454095849468,0.9192829210274287,0.44053089220377123,19.933326459337763,0.017445232719182968,0.015691759064793587,0.022100219604711518
F2,2009-2013,2014,2015-2016,1838029,102400,184770,33,0.9234877796633814,0.4716741680917059,0.914521019851035,0.4085340634804335,19.895845785260857,0.015643466264009476,0.014855322428047657,0.02053363641283758
F3,2009-2014,2015,2016-2017,1940429,97960,171760,177,0.9444335565734425,0.5808638686647809,0.9026326447922177,0.25474598589733494,14.431124847535044,0.01490138191729784,0.015175596810877323,0.017652538425710292
F4,2009-2015,2016,2017-2018,2038389,86810,169134,14,0.8880817275687267,0.20599176375664763,0.9129167092195987,0.34087583125847043,21.04917591970432,0.013613875955343246,0.013127323240041733,0.016194260172407677
F5,2009-2016,2017,2018-2019,2125199,84950,163932,209,0.9207269925517704,0.35734130035235817,0.8610199883611691,0.33873666431300303,10.668545409060366,0.026212289929389954,0.02543777786195278,0.031750969914354735
F6,2009-2017,2018,2019-2020,2210149,84184,158573,180,0.9308437102732061,0.4176714698693675,0.8292617992780346,0.3142908976125763,6.2414590491069575,0.043335989117622375,0.04289233312010765,0.050355356838806105
F7,2009-2018,2019,2020-2021,2294333,79748,156847,40,0.8395704758394062,0.3737146596092261,0.8087266116384838,0.2194033412771284,4.622884990501579,0.04362555220723152,0.04079442098736763,0.04746026382398133
F8,2009-2019,2020,2021-2021,2374081,78825,78022,179,0.8419273989407225,0.30059786262776267,0.8477751443356812,0.26288396474664333,5.948588369333702,0.03808510676026344,0.03693502023816109,0.04419266360770039
