threshold,n_treated,n_caught,nb_model,nb_treat_all,nb_treat_none,advantage_over_treat_all
0.01,424631,20797,0.013836489029020344,0.011831627733203986,0.0,0.0020048612958163577
0.02,201153,15250,0.009481571390313881,0.0017482769957876988,0.0,0.0077332943945261825
0.03,134351,12288,0.007045636994238,-0.008542977880544384,0.0,0.015588614874782384
0.04,97123,10454,0.005663414015093516,-0.01904863390013339,0.0,0.024712047915226906
0.05,72531,8932,0.004622145517280283,-0.029775461625397955,0.0,0.03439760714267824
0.06,55247,7754,0.003908588005655821,-0.04073051972779579,0.0,0.04463910773345161
0.07,42892,6757,0.0033413432626020222,-0.05192117047755705,0.0,0.05526251374015907
0.08,33828,5908,0.0028803544918815953,-0.06335509624361745,0.0,0.06623545073549904
0.09,27126,5197,0.0025062779504138664,-0.07504031708145939,0.0,0.07754659503187325
0.1,22019,4586,0.0021924361367106834,-0.08698520949347562,0.0,0.08917764563018629
0.11,17892,4065,0.0019499728480732177,-0.09919852645407645,0.0,0.10114849930214967
0.12,14705,3646,0.0017694710472251451,-0.1116894188001455,0.0,0.11345888984737065
0.13,12199,3266,0.0015983380092994195,-0.12446745809669892,0.0,0.12606579610599833
0.14,10249,2949,0.0014571778960200492,-0.13754266109782334,0.0,0.13899983899384338
0.15,8565,2652,0.0013312940767515743,-0.1509255159342683,0.0,0.1522568100110199
0.16,7307,2413,0.0012255871315912945,-0.16462701017158105,0.0,0.16585259730317234
0.17,6293,2216,0.001142940220922839,-0.17865866089653984,0.0,0.17980160111746268
0.18,5502,2040,0.001059428162738356,-0.1930325470050342,0.0,0.19409197516777255
0.19,4807,1893,0.0010010131519703944,-0.20776134388163955,0.0,0.20876235703360996
0.2,4220,1761,0.0009486900421685999,-0.22285836068016007,0.0,0.22380705072232868
0.21,3714,1652,0.0009136172032340453,-0.23833758043560513,0.0,0.23925119763883917
0.22,3263,1551,0.0008840327956070209,-0.2542137032617026,0.0,0.2550977360573096
0.23,2851,1433,0.0008354609855133342,-0.270502192914452,0.0,0.27133765389996534
0.24,2556,1342,0.0007934082731129602,-0.2872193270317474,0.0,0.2880127353048604
0.25,2310,1254,0.000746537333074004,-0.3043822513921707,0.0,0.3051287887252447
0.26,2091,1182,0.0007139459477354525,-0.322009038573146,0.0,0.32272298452088144
0.27,1908,1111,0.0006755411179704379,-0.3401187514303124,0.0,0.3407942925482828
0.28,1745,1036,0.0006292414020151358,-0.35873151186684454,0.0,0.3593607532688597
0.29,1553,959,0.0005929097837691369,-0.37786857541426483,0.0,0.37846148519803396
0.3,1422,897,0.0005561785896072403,-0.3975524122058972,0.0,0.3981085907955044
0.31,1292,822,0.0005055601965744903,-0.41780679499149,0.0,0.4183123551880645
0.32,1197,773,0.00047463104605050633,-0.4386568949178354,0.0,0.4391315259638859
0.33,1094,715,0.00043726922785441297,-0.46012938588675834,0.0,0.46056665511461276
0.34,981,647,0.00039308202718769275,-0.4822525584001941,0.0,0.4826456404273818
0.35,882,589,0.0003569067277172835,-0.5050564439140433,0.0,0.5054133506417605
0.36,786,533,0.0003233512242963968,-0.5285729508502001,0.0,0.5288963020744964
0.37,715,489,0.0002948655622575233,-0.552836013562108,0.0,0.5531308791243655
0.38,651,446,0.0002651406285229216,-0.5778817557163356,0.0,0.5781468963448585
0.39,591,415,0.0002503427780260341,-0.6037486697444723,0.0,0.6039990125224983
0.4,535,385,0.00023587931255664204,-0.6304778142402134,0.0,0.6307136935527701
0.41,476,343,0.00020738862663320824,-0.6581130314307255,0.0,0.6583204200573587
0.42,426,313,0.00019132908788623454,-0.6867011871450482,0.0,0.6868925162329345
0.43,375,274,0.00016371432742850968,-0.7162924360423298,0.0,0.7164561503697583
0.44,321,232,0.00013413788475965437,-0.7469405152573715,0.0,0.7470746531421312
0.45,282,203,0.00011451620852032193,-0.7787030700802328,0.0,0.7788175862887531
0.46,247,178,9.867388006755436e-05,-0.8116420158224593,0.0,0.8117406897025269
0.47,219,161,9.068197073925326e-05,-0.8458239406492982,0.0,0.8459146226200375
0.48,185,138,7.830811186090953e-05,-0.8813205548925539,0.0,0.8813988630044148
0.49,149,112,6.327440245327469e-05,-0.9182091932237804,0.0,0.9182724676262336
