lever_dropped,n_features,mean_test_auc,std_test_auc,mean_test_ap,std_test_ap,mean_test_ap_lift,mean_test_brier_calibrated,delta_auc_vs_full,delta_ap_vs_full
residualized_concentration,17,0.81113626045979,0.10103941844537927,0.4313846224320051,0.15334262303570978,18.426091434417597,0.022898709401488304,-0.05117254510443825,-0.032418189240841
branch_access,17,0.8576341862336353,0.0766397464070979,0.45806521895919383,0.1439475025566737,19.189107012233286,0.022554945666342974,-0.004674619330592988,-0.005737592713652262
mdi_mission_lender,16,0.8546957549949804,0.07707425312763506,0.458324089210787,0.14625887007837507,19.316922209119014,0.022628743822375934,-0.007613050569247881,-0.005478722462059105
microlender_ecosystem,19,0.8542968021909799,0.08407375290130364,0.4594233177167757,0.14486303145538293,19.352313135003882,0.022664615729202826,-0.008012003373248366,-0.004379493956070402
none_baseline,20,0.8623088055642283,0.07480075516437155,0.4638028116728461,0.14318744983792822,19.523788637579194,0.022552257248510916,0.0,0.0
residualized_loan_size,18,0.8652247866280813,0.07092881417119892,0.46868919801395004,0.14067474458688042,19.64816822906091,0.022412761114537716,0.002915981063853046,0.004886386341103943
ssbci_state_policy,16,0.8659892276469142,0.07115685485956248,0.4697962177428357,0.13646596163072294,19.648463061014844,0.022394693456590176,0.00368042208268593,0.005993406069989604
residualized_lender_mix,17,0.8612986912114553,0.07207454595531128,0.47136832668244066,0.14081903027861573,19.913586726897623,0.02240608275557558,-0.001010114352772984,0.00756551500959457
