state_fips,n,pos_rate,auc,brier
78,82,0.34146341463414637,0.691468253968254,0.23970277607440948
72,1279,0.3236903831118061,0.7741559855910196,0.20365503430366516
54,8678,0.07536298686333257,0.8575546296889149,0.06191585585474968
19,15946,0.0497930515489778,0.864660940421695,0.04302078112959862
35,9189,0.04592447491566003,0.872489035520427,0.038322001695632935
27,26644,0.040759645698844015,0.8777491184965204,0.03543830290436745
11,3479,0.04455303248059787,0.8857711268972478,0.03698088228702545
26,51768,0.05118992427754598,0.890229989082894,0.04293115437030792
32,13863,0.0336146577219938,0.8906124809827067,0.02914041467010975
49,12298,0.026427061310782242,0.8953968223374387,0.0236049871891737
55,27112,0.04592062555326055,0.8980905102607826,0.03905593231320381
40,20285,0.04096623120532413,0.89825107504673,0.034225743263959885
39,55712,0.04548391728891442,0.9001980526570931,0.038032252341508865
31,10579,0.025522261083278194,0.900476390640325,0.021585114300251007
21,20358,0.047843599567737496,0.9013067838501833,0.03923296183347702
17,61568,0.04002079002079002,0.9021248458857907,0.03426288440823555
20,14690,0.046494213750850916,0.9022462728058684,0.0391107052564621
18,30823,0.034195243811439506,0.9027617015344529,0.02914086915552616
53,31633,0.012834697942022572,0.9065347169408309,0.011368194594979286
56,2893,0.020048392671966817,0.9127805145046525,0.017349286004900932
02,2904,0.0337465564738292,0.9134471322384977,0.028126776218414307
04,32701,0.02764441454389774,0.9140715256434555,0.024050097912549973
50,3841,0.01327779224160375,0.9144161622432614,0.010638758540153503
01,23960,0.03397328881469115,0.9144190674260665,0.02818027324974537
06,171271,0.017656229017171617,0.9170151185978364,0.015631157904863358
36,95680,0.03103051839464883,0.9182338384851625,0.02626652829349041
05,14793,0.010815926451700129,0.9183047307455751,0.00973319262266159
25,30672,0.007596504955659885,0.9208483102841157,0.00680980458855629
47,31150,0.02696629213483146,0.9211085843113228,0.022928960621356964
29,28684,0.02356714544693906,0.9219602461426913,0.019848931580781937
22,23557,0.02186186696098824,0.9242820413209143,0.018837008625268936
42,64748,0.025931302897386793,0.9254489191154179,0.021862631663680077
51,38468,0.0281792658833316,0.9255305513813752,0.023769371211528778
24,28455,0.02259708311368828,0.9263899814775008,0.018875475972890854
08,28522,0.011149288268704859,0.9294593567619206,0.00968916341662407
33,6343,0.01087813337537443,0.9302019376030825,0.009970234706997871
10,4760,0.007142857142857143,0.9329553658111573,0.00665270583704114
44,5057,0.004943642475776152,0.9336804451510333,0.004484536126255989
48,114897,0.014186619319912618,0.934020251080554,0.012082592584192753
15,6202,0.021928410190261205,0.9343580904171758,0.01756502315402031
37,46829,0.01212923615708215,0.9352569857005459,0.01059602852910757
16,7048,0.0073779795686719635,0.9363001385407046,0.006432963069528341
09,14771,0.008191727032699207,0.9363895862127324,0.007105173077434301
41,18594,0.010917500268903948,0.9385547599985322,0.00978879164904356
45,22587,0.022756452826847302,0.9398612950554412,0.018717819824814796
13,44543,0.015355948184899984,0.9446694977752337,0.013164755888283253
28,13881,0.01945104819537497,0.9475435173620465,0.015674130991101265
34,44336,0.007510826416456153,0.9476109634621555,0.006178065203130245
12,93163,0.007170228524199521,0.9502616098685379,0.006273474544286728
23,7528,0.009564293304994687,0.9535944206008583,0.007939241826534271
38,4288,0.016791044776119403,0.9549434693232132,0.013861142098903656
46,4583,0.015928431158629717,0.9666676791300914,0.011430870741605759
30,5693,0.008607061303354997,0.9726709961092871,0.006994722411036491
