fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier,test_pos_rate
F1,2009-2014,2015,2016-2018,393484,88879,228227,97,0.9623017072715638,0.3741397300156611,0.950860062441129,0.3514087121079782,14.329275708105689,0.019467724487185478,0.024523829345344767
F2,2009-2015,2016,2017-2019,482363,77812,219038,224,0.9596809551306713,0.37335485170201693,0.9535281718777657,0.3828353931338038,15.827764975696889,0.019564369693398476,0.024187583889553412
F3,2009-2016,2017,2018-2020,560175,75735,211862,74,0.952197047189252,0.440061061200819,0.9466078547254365,0.30839013800123877,15.290463706346467,0.017295682802796364,0.020168789117444373
F4,2009-2017,2018,2019-2021,635910,74680,194829,52,0.9490084964297951,0.3143988513298705,0.9233431544384842,0.25017539155371094,11.241102712411887,0.01966116391122341,0.022255413721776533
F5,2009-2018,2019,2020-2022,710590,68623,204465,155,0.9514364222372401,0.3128974500835252,0.9290035097313835,0.2647099002082295,9.85684023785752,0.0230613611638546,0.02685545203335534
F6,2009-2019,2020,2021-2023,779213,68559,212841,135,0.9561622109217791,0.3098295328201972,0.9214771563093594,0.26475195544239594,9.36825784676891,0.024316484108567238,0.028260532510183657
F7,2009-2020,2021,2022-2024,847772,57647,155194,245,0.9295715586138436,0.3088844138248492,0.9227965561282441,0.25254282524565447,9.204586947199177,0.02336769737303257,0.027436627704679306
F8,2009-2021,2022,2023-2024,905419,78259,76935,2,0.9078323205354092,0.2157608525511529,0.9203055526246796,0.226064067268353,9.509152003986188,0.022543851286172867,0.023773315136153897
