family,n_features,sum_gain,mean_gain_per_feature
acs_demographics,10,0.38294408599367635,0.038294408599367634
place_rural,2,0.32051971784516764,0.16025985892258382
fdic_concentration,6,0.11645049438679345,0.01940841573113224
hmda,15,0.07079972555196505,0.004719981703464337
place_persistent_pov,1,0.050747572538966716,0.050747572538966716
cra_county_concentration,4,0.0453005786437911,0.011325144660947774
regime_flag,1,0.01323782503963967,0.01323782503963967
