feature,F1,F2,F3,F4,F5,F6,F7,F8,mean,folds_used,rank,family
ruca_code,0.32815827064634834,0.3689158720782274,0.30117933528304736,0.2710474798381808,0.3170528239283977,0.23532664297690065,0.29176738731103335,0.18817901771743883,0.2877033537224468,8,1,place_rural
housing_units,0.12240544946326842,0.12409220679231778,0.2021265256651023,0.2375393323257124,0.1797256310653126,0.1895249356935719,0.21239774975850348,0.17776715409877406,0.18069737310782036,8,2,acs_demographics
is_persistent_poverty,0.06770109451938343,0.0581901219796055,0.06671605425037307,0.05952744086851769,0.03820218389396718,0.04107043465320039,0.03125702755706543,0.04331622258962103,0.050747572538966716,8,3,place_persistent_pov
population,0.03869887877774793,0.04107594909549174,0.035623670834565246,0.03794855146614652,0.03342093726002894,0.0356883069023143,0.03640403174027738,0.07458466868986817,0.04168062434580503,8,4,acs_demographics
median_hh_income,0.04765390044177442,0.0404081726522167,0.046982821094527186,0.04595721257642598,0.03442663984867002,0.03667674801528427,0.030839612838527618,0.0470350851331358,0.04124752407507025,8,5,acs_demographics
pct_black,0.06363730567725592,0.09152222060015165,0.025438581709638315,0.02084102527203929,0.018847671738000494,0.014412818994926482,0.036234434480291455,0.015989706981719736,0.03586547068175292,8,6,acs_demographics
fdic_deposit_hhi_chg3yr,0.07554979802540128,0.026183583120558768,0.021134033737271452,0.022581507831326262,0.01953427062179678,0.01830416997376771,0.06022264185824294,0.02939644998839025,0.03411330689459443,8,7,fdic_concentration
pct_minority,0.039107815199424995,0.03971242936008037,0.0456086590156205,0.039005716611456416,0.029397910427857592,0.030364916224152275,0.01709973326290395,0.028601571515944064,0.03361234395218002,8,8,acs_demographics
is_rural,0.05120864196829549,0.03530080744316135,0.04164789357904727,0.035585662068653476,0.023578884112120637,0.02373744875510401,0.022572149724042707,0.02889942533134164,0.03281636412272082,8,9,place_rural
fdic_deposit_hhi,0.04231570052188434,0.03473876603500167,0.034149082386427235,0.03187922930163143,0.02736429010904768,0.023834912474081732,0.023516392636405297,0.021185528298478494,0.029872987720369736,8,10,fdic_concentration
fdic_top_bank_share_chg3yr,0.00975514066437079,0.03232968992118864,0.039058872635350156,0.03716758510028344,0.03829119110619908,0.033548189657997204,0.008477807612910034,0.011562682645502632,0.026273894917975247,8,11,fdic_concentration
cra_county_amount_hhi,0.020768944654843472,0.015400893771929906,0.01858428891167473,0.016533370470180636,0.011185115137657886,0.012764486069671213,0.0078392924713569,0.012464835850680535,0.01444265341724941,8,12,cra_county_concentration
pct_poverty,0.01366851714787845,0.01035875400285891,0.012872618331792776,0.0153228231165207,0.011837921692418266,0.012652365104410339,0.013087219711093102,0.01840279956361516,0.013525377333823464,8,13,acs_demographics
has_hmda,0.0,0.0,0.0,0.0,0.014312142900124293,0.03496100825470625,0.024376484206154212,0.032252964956132606,0.01323782503963967,4,14,regime_flag
pct_vacant,0.012383385978574874,0.012327767705830536,0.016828476506412594,0.015735749313138894,0.011043546638703258,0.011739391174454737,0.010146499539299306,0.011806516904339795,0.01275141672009425,8,15,acs_demographics
cra_county_top_lender_share_count,0.01296526108404107,0.011593122943966552,0.013813475101882649,0.014681512407753446,0.008957056028844454,0.009870468541504725,0.008624541686832956,0.012490668205485488,0.011624513250038918,8,16,cra_county_concentration
pct_hispanic,0.009753883095038406,0.009989230322565858,0.013935252952425446,0.013397154978515478,0.00836186394172249,0.010008713993178877,0.010346808095865339,0.012935891628878912,0.01109109987602385,8,17,acs_demographics
sum_loan_amount,0.0,0.0,0.0,0.0,0.01180708323524601,0.03832774899740226,0.028700543148574162,0.009468305832974793,0.011037960151774653,4,18,hmda
cra_county_count_hhi,0.00931018292924117,0.010204664627275624,0.013775406489478037,0.012540139696292966,0.0079170347563407,0.01055799237766305,0.007144463327806185,0.010699040019605779,0.010268615527962939,8,19,cra_county_concentration
mean_loan_amount,0.0,0.0,0.0,0.0,0.017678676947960735,0.024548364532342538,0.022588997120785322,0.015921142600742105,0.010092147650228837,4,20,hmda
fdic_top_bank_share,0.011086521857518784,0.010651571839072518,0.013834480294247253,0.012732512773007578,0.007336181692003663,0.009572210077222327,0.004292212901272619,0.01011989962027148,0.009953198881827028,8,21,fdic_concentration
cra_county_top_lender_share_amount,0.007908767163444633,0.009460511705487546,0.012277491811907739,0.01289523486083691,0.0065628324623181146,0.009031995406163586,0.0037947379453148805,0.009786800232845231,0.00896479644853983,8,22,cra_county_concentration
n_white,0.0,0.0,0.0,0.0,0.026106539500126123,0.021376592471551346,0.012894751298430289,0.010615672421243878,0.008874194461418954,4,23,hmda
fdic_deposit_hhi_chg1yr,0.008555638058297824,0.008895881183834659,0.012861252587882309,0.011463026343106182,0.005706516007504847,0.00755592281317185,0.0042298865953482425,0.008097317486470612,0.008420680134452066,8,24,fdic_concentration
fdic_top_bank_share_chg1yr,0.007406902125965973,0.00864778281917632,0.011551726821326347,0.011423352901332654,0.005368885136493981,0.007198671990340837,0.0029469037579194176,0.00798718114804404,0.007816425837574947,8,25,fdic_concentration
