feature,mean_importance,std_importance
distance_to_nearest_bank_branch,0.40960718166666665,0.08000166833180479
nearest_mdi_branch_miles,0.06953534733333333,0.015717926061765003
pct_loans_from_credit_unions_resid,0.0501469275,0.015637961715677818
top3_lender_share_tract_resid,0.0498494605,0.018528637285848484
lender_hhi_tract_resid,0.04646130666666667,0.010241720954944376
ssbci_active,0.040897053833333336,0.03429077645440671
mdi_branches_within_25mi,0.038614279499999994,0.005968932477370297
pct_loans_under_250k_resid,0.03607575566666667,0.01661620953031724
mdi_active_in_county,0.03402887066666666,0.013263490366624973
pct_loans_from_top4_banks_resid,0.03363299916666667,0.007745965457445712
mdi_branches_within_10mi,0.030868015333333332,0.01341249331871453
branches_within_5mi,0.028225546166666667,0.004763853594214517
ssbci_program_count,0.024595398333333334,0.01965522090514094
pct_loans_from_community_banks_resid,0.022896485499999997,0.008902964481155764
top1_lender_share_tract_resid,0.020445528833333334,0.005253825631758001
microloan_intermediary_within_25mi,0.019625799,0.0037277783329945466
branch_closures_3y_within_10mi,0.018912509583333334,0.0039927737000129675
pct_loans_under_100k_resid,0.015078928083333333,0.005095349753392405
ssbci_n_capital_programs,0.010502659216666667,0.0099839828706176
ssbci_2_0_active,0.0,0.0
