k,mean_test_auc,std_test_auc,mean_test_ap,n_folds_at_or_above_ap_010,features
3,0.7702165952364656,0.11863562395654498,0.375917454366466,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid"
5,0.8467161925469826,0.0756863398288795,0.454182999003038,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid"
7,0.8438862035236236,0.08339098635601787,0.4479801440985793,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid,ssbci_active,mdi_branches_within_25mi"
10,0.8521416928425447,0.08227532147033548,0.43547105359283905,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid,ssbci_active,mdi_branches_within_25mi,pct_loans_under_250k_resid,mdi_active_in_county,pct_loans_from_top4_banks_resid"
14,0.849518529352542,0.08675026150465741,0.439824581125091,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid,ssbci_active,mdi_branches_within_25mi,pct_loans_under_250k_resid,mdi_active_in_county,pct_loans_from_top4_banks_resid,mdi_branches_within_10mi,branches_within_5mi,ssbci_program_count,pct_loans_from_community_banks_resid"
18,0.8626365450048379,0.07027926255908008,0.445799221226386,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid,ssbci_active,mdi_branches_within_25mi,pct_loans_under_250k_resid,mdi_active_in_county,pct_loans_from_top4_banks_resid,mdi_branches_within_10mi,branches_within_5mi,ssbci_program_count,pct_loans_from_community_banks_resid,top1_lender_share_tract_resid,microloan_intermediary_within_25mi,branch_closures_3y_within_10mi,pct_loans_under_100k_resid"
20,0.8591798000170012,0.07186319508189619,0.44002578605724135,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid,ssbci_active,mdi_branches_within_25mi,pct_loans_under_250k_resid,mdi_active_in_county,pct_loans_from_top4_banks_resid,mdi_branches_within_10mi,branches_within_5mi,ssbci_program_count,pct_loans_from_community_banks_resid,top1_lender_share_tract_resid,microloan_intermediary_within_25mi,branch_closures_3y_within_10mi,pct_loans_under_100k_resid,ssbci_n_capital_programs,ssbci_2_0_active"
20,0.8591798000170012,0.07186319508189619,0.44002578605724135,6,"distance_to_nearest_bank_branch,nearest_mdi_branch_miles,pct_loans_from_credit_unions_resid,top3_lender_share_tract_resid,lender_hhi_tract_resid,ssbci_active,mdi_branches_within_25mi,pct_loans_under_250k_resid,mdi_active_in_county,pct_loans_from_top4_banks_resid,mdi_branches_within_10mi,branches_within_5mi,ssbci_program_count,pct_loans_from_community_banks_resid,top1_lender_share_tract_resid,microloan_intermediary_within_25mi,branch_closures_3y_within_10mi,pct_loans_under_100k_resid,ssbci_n_capital_programs,ssbci_2_0_active"
