regime,train_years,test_years,n_test,test_pos_rate,test_auc,test_ap,test_ap_lift,test_brier_calibrated
precovid,2009-2017,2018-2019,163614,0.014852029777402912,0.8172456601498703,0.1444629974376309,9.726818462041376,0.0136901019141078
postcovid,2020-2021,2023-2024,77124,0.02258700274882008,0.7336580608142329,0.07755225296615477,3.433490216855178,0.022167067974805832
