fold,train_years,test_years,n_test,test_auc,test_ap,test_brier
F1,2009-2014,2016-2017,205266,0.9130476515229345,0.17454791657676005,0.0133677301928401
F2,2009-2015,2017-2018,192984,0.9382312377752415,0.18330250868366216,0.011894257739186287
F3,2009-2016,2018-2019,177912,0.9420678404600056,0.23519359010059368,0.011612304486334324
F4,2009-2017,2019-2020,160684,0.9447032699972515,0.20989214917353988,0.012364683672785759
F5,2009-2018,2020-2021,158191,0.8362070894149358,0.14195160475828866,0.026428833603858948
F6,2009-2019,2021-2022,157632,0.8331983226946629,0.175702600771356,0.03506298363208771
F7,2009-2020,2022-2023,155684,0.8527937773815356,0.14381100495187615,0.023311562836170197
F8,2009-2021,2023-2024,77156,0.8546472610112957,0.13239639105422618,0.020791342481970787
