feature,importance
ruca_code,0.273909
housing_units,0.123413
fdic_total_branch_deposits_k_chg3yr,0.057399
median_hh_income,0.045483
fdic_branch_count,0.032469
cra_county_count_hhi,0.024128
cra_county_top_lender_share_count,0.023897
population,0.023861
is_persistent_poverty,0.020626
is_rural,0.020535
pct_minority,0.019867
n_white,0.019060
pct_poverty,0.017631
pct_hispanic,0.016587
fdic_total_branch_deposits_k,0.015540
fdic_top_bank_share_chg3yr,0.015024
fdic_bank_count,0.013793
fdic_total_branch_deposits_k_pctchg3yr,0.013217
mean_loan_amount,0.013052
pct_black,0.012920
n_other_race,0.011772
cra_county_amount_hhi,0.011756
fdic_deposit_hhi,0.011013
sum_loan_amount,0.010856
cra_county_top_lender_share_amount,0.009804
pct_bachelor_plus,0.009020
fdic_deposit_hhi_chg3yr,0.008871
has_hmda,0.008737
fdic_bank_count_chg3yr,0.008702
fdic_branch_count_chg3yr,0.008492
pct_vacant,0.008295
fdic_total_branch_deposits_k_chg1yr,0.007512
fdic_avg_branch_deposits_k_chg3yr,0.007453
fdic_total_branch_deposits_k_pctchg1yr,0.006427
fdic_avg_branch_deposits_k,0.006136
fdic_top_bank_share,0.005516
fdic_bank_count_chg1yr,0.005415
fdic_branch_count_chg1yr,0.005297
n_applications,0.004703
n_distinct_lenders,0.004540
denial_rate,0.003998
fdic_avg_branch_deposits_k_chg1yr,0.003732
n_denied,0.003670
unemployment_rate,0.003657
fdic_deposit_hhi_chg1yr,0.003619
fdic_top_bank_share_chg1yr,0.003368
n_withdrawn,0.003200
n_purchased,0.003123
n_black,0.002743
n_originated,0.002481
approval_rate,0.001952
n_hispanic,0.000873
n_asian,0.000855
