threshold,n_treated,n_caught,nb_model,nb_treat_all,nb_treat_none,advantage_over_treat_all
0.01,598954,32738,0.01797180272107952,0.014823788019849455,0.0,0.0031480147012300664
0.02,409518,28472,0.013765913870981111,0.004770969530256082,0.0,0.00899494434072503
0.03,301068,24640,0.010702924530192835,-0.0054891235673701425,0.0,0.01619204809756298
0.04,228798,21244,0.008378337150260089,-0.015962968604530253,0.0,0.024341305754790342
0.05,177360,18270,0.0065830127393759555,-0.026657315642472673,0.0,0.03324032838184863
0.06,139152,15721,0.005216490940756527,-0.037579201979094715,0.0,0.04279569291985124
0.07,110472,13521,0.004139716749152951,-0.04873596759177318,0.0,0.05287568434092613
0.08,88470,11718,0.003355024104493283,-0.060135271587335906,0.0,0.0634902956918292
0.09,71475,10229,0.0027748624919952947,-0.0717851097366473,0.0,0.0745599722286426
0.1,58399,8850,0.0022246744563161245,-0.0836938331781656,0.0,0.08591850763448172
0.11,48122,7694,0.0017941313330174288,-0.09587016838241465,0.0,0.09766429971543207
0.12,40164,6746,0.001456041708377927,-0.10832323847766935,0.0,0.10977928018604728
0.13,33854,5959,0.0011911615868362936,-0.12106258604637822,0.0,0.12225374763321452
0.14,28743,5293,0.000981486612288409,-0.13409819751203378,0.0,0.1350796841243222
0.15,24632,4738,0.0008163505818825963,-0.14744052924746948,0.0,0.14825687982935207
0.16,21151,4232,0.0006713711425260184,-0.1611005355480346,0.0,0.16177190669056063
0.17,18308,3780,0.0005350474641451722,-0.17508969862692658,0.0,0.17562474609107176
0.18,15792,3358,0.0004181116993873576,-0.18942006080530366,0.0,0.189838172504691
0.19,13743,2999,0.0003184816652060591,-0.20410425908685065,0.0,0.20442274075205671
0.2,11940,2688,0.00024943610810494407,-0.21915556232543631,0.0,0.21940499843354125
0.21,10515,2437,0.00019268676232849446,-0.23458791121563166,0.0,0.23478059797796016
0.22,9219,2187,0.00013543741090334105,-0.25041596135942185,0.0,0.2505513987703252
0.23,8037,1972,0.00010667658870953988,-0.266655129688765,0.0,0.26676180627747453
0.24,7021,1792,9.361293376457832e-05,-0.28332164455309083,0.0,0.2834152574868554
0.25,6154,1640,9.001871990276205e-05,-0.3004325998137987,0.0,0.3005226185337015
0.26,5406,1499,8.399030609486835e-05,-0.31800601332479606,0.0,0.3180900036308909
0.27,4762,1385,9.044393823012505e-05,-0.3360608902196563,0.0,0.3361513341578864
0.28,4214,1255,6.936171480192283e-05,-0.3546172914727071,0.0,0.354686653187509
0.29,3755,1157,6.375259025931065e-05,-0.37369640825401274,0.0,0.37376016084427205
0.3,3343,1037,3.240293823382316e-05,-0.39332064265764155,0.0,0.39335304559587536
0.31,2980,946,2.1400895072192232e-05,-0.4135136954497813,0.0,0.41353509634485347
0.32,2657,855,4.656140684625642e-06,-0.4343006615593369,0.0,0.4343053177000215
0.33,2343,776,2.789713288656225e-06,-0.45570813411992406,0.0,0.4557109238332127
0.34,2098,714,6.853194081266273e-07,-0.4777643179702259,0.0,0.477765003289634
0.35,1884,669,9.823945180748505e-06,-0.5004991536313064,0.0,0.5005089775764872
0.36,1706,628,1.4384148900718405e-05,-0.5239444529067954,0.0,0.5239588370556961
0.37,1515,580,2.0535586466205967e-05,-0.5481340473973795,0.0,0.5481545829838457
0.38,1364,538,2.1113559602173315e-05,-0.5731039513876598,0.0,0.573125064947262
0.39,1223,489,1.3117885816404213e-05,-0.5988925407546706,0.0,0.598905658640487
0.4,1111,456,1.2859817128965992e-05,-0.6255407497672485,0.0,0.6255536095843774
0.41,1004,422,1.1679810530925263e-05,-0.6530922878988967,0.0,0.6531039677094277
0.42,908,390,9.908634363341303e-06,-0.6815938790695673,0.0,0.6816037877039306
0.43,831,367,1.1284431183040088e-05,-0.7110955260707877,0.0,0.7111068105019708
0.44,736,338,1.6819120432219077e-05,-0.7416508033220519,0.0,0.7416676224424841
0.45,666,314,1.729423682860946e-05,-0.773317181564271,0.0,0.7733344758010996
0.46,615,295,1.4904577323801604e-05,-0.806156388630276,0.0,0.8061712932075998
0.47,565,278,1.5625054319026667e-05,-0.8402348110572624,0.0,0.8402504361115815
0.48,522,265,1.847106359505329e-05,-0.8756239420391327,0.0,0.8756424131027278
0.49,490,253,1.6824710036882534e-05,-0.9124008820791157,0.0,0.9124177067891526
