feature,importance
ruca_code,0.310044
housing_units,0.103564
fdic_total_branch_deposits_k_chg3yr,0.049424
fdic_branch_count,0.049385
median_hh_income,0.044943
fdic_bank_count_chg3yr,0.042974
is_persistent_poverty,0.028636
cra_county_count_hhi,0.026833
is_rural,0.025906
cra_county_top_lender_share_count,0.024954
population,0.023916
pct_minority,0.023102
fdic_bank_count,0.016388
pct_hispanic,0.015984
cra_county_amount_hhi,0.015160
pct_black,0.014599
pct_poverty,0.014399
fdic_total_branch_deposits_k,0.013658
fdic_branch_count_chg3yr,0.013497
fdic_total_branch_deposits_k_pctchg3yr,0.013096
fdic_deposit_hhi,0.012977
fdic_top_bank_share_chg3yr,0.011004
fdic_avg_branch_deposits_k_chg3yr,0.010088
pct_vacant,0.009518
fdic_total_branch_deposits_k_chg1yr,0.009342
cra_county_top_lender_share_amount,0.009195
fdic_bank_count_chg1yr,0.009043
fdic_avg_branch_deposits_k,0.008959
fdic_deposit_hhi_chg3yr,0.008422
fdic_top_bank_share,0.007705
fdic_total_branch_deposits_k_pctchg1yr,0.007584
fdic_branch_count_chg1yr,0.007163
fdic_avg_branch_deposits_k_chg1yr,0.006780
fdic_top_bank_share_chg1yr,0.006126
fdic_deposit_hhi_chg1yr,0.005633
pct_bachelor_plus,0.000000
approval_rate,0.000000
n_white,0.000000
sum_loan_amount,0.000000
n_withdrawn,0.000000
has_hmda,0.000000
n_purchased,0.000000
n_other_race,0.000000
n_originated,0.000000
n_hispanic,0.000000
n_distinct_lenders,0.000000
n_denied,0.000000
n_black,0.000000
n_asian,0.000000
n_applications,0.000000
mean_loan_amount,0.000000
denial_rate,0.000000
unemployment_rate,0.000000
