state_fips,n,pos_rate,auc,brier
54,8678,0.07536298686333257,0.7266798610285352,0.06946816295385361
32,13863,0.0336146577219938,0.7307090402982412,0.03187669813632965
35,9189,0.04592447491566003,0.73613594062612,0.04172792658209801
19,15946,0.0497930515489778,0.7460165204184499,0.04654328525066376
20,14690,0.046494213750850916,0.761452049545192,0.04353472590446472
11,3479,0.04455303248059787,0.7665735025814215,0.04066818207502365
27,26644,0.040759645698844015,0.7709695111555748,0.03813977912068367
26,51768,0.05118992427754598,0.7786895439323247,0.04714779928326607
56,2893,0.020048392671966817,0.7850027367268747,0.018435368314385414
04,32701,0.02764441454389774,0.7862920536278121,0.02598906122148037
15,6202,0.021928410190261205,0.7887077927115455,0.020729055628180504
41,18594,0.010917500268903948,0.7900800428995443,0.010481409728527069
39,55712,0.04548391728891442,0.7934116809465659,0.04176320880651474
40,20285,0.04096623120532413,0.7976840860175943,0.03751222416758537
06,171271,0.017656229017171617,0.8093976447074869,0.016880767419934273
49,12298,0.026427061310782242,0.8100030196146458,0.024994397535920143
55,27112,0.04592062555326055,0.8130628517860051,0.04185397922992706
18,30823,0.034195243811439506,0.8152339427252081,0.0313984714448452
02,2904,0.0337465564738292,0.8234795700176009,0.0306848157197237
36,95680,0.03103051839464883,0.8269630362875855,0.02866060845553875
16,7048,0.0073779795686719635,0.8272611822140125,0.0070894877426326275
53,31633,0.012834697942022572,0.8282122440145503,0.01206901390105486
01,23960,0.03397328881469115,0.8326395038353909,0.03053617849946022
48,114897,0.014186619319912618,0.8335292617947463,0.013614161871373653
21,20358,0.047843599567737496,0.8341623492268229,0.04166612774133682
09,14771,0.008191727032699207,0.8362327588638478,0.008078320883214474
47,31150,0.02696629213483146,0.8394004414698906,0.024830693379044533
22,23557,0.02186186696098824,0.8421476021414672,0.020796049386262894
17,61568,0.04002079002079002,0.8432778621516377,0.03639049828052521
31,10579,0.025522261083278194,0.8437251879874832,0.02318919450044632
10,4760,0.007142857142857143,0.8447387418784695,0.007316292729228735
29,28684,0.02356714544693906,0.8452096421309887,0.02166035585105419
08,28522,0.011149288268704859,0.8509546685469478,0.01058918796479702
05,14793,0.010815926451700129,0.8517144467983326,0.01190609484910965
51,38468,0.0281792658833316,0.8518199939315358,0.026050196960568428
37,46829,0.01212923615708215,0.8535814169511569,0.01155918464064598
12,93163,0.007170228524199521,0.8620684060280974,0.007069437764585018
46,4583,0.015928431158629717,0.8654587978009294,0.014305655844509602
42,64748,0.025931302897386793,0.8661333332124564,0.023733843117952347
24,28455,0.02259708311368828,0.8673162160330449,0.020594406872987747
28,13881,0.01945104819537497,0.868879473846045,0.01875033974647522
38,4288,0.016791044776119403,0.8705592452034577,0.014656759798526764
45,22587,0.022756452826847302,0.8793143233074688,0.020602064207196236
30,5693,0.008607061303354997,0.8937177280550774,0.00816457811743021
34,44336,0.007510826416456153,0.8938068582411014,0.007391832303255796
23,7528,0.009564293304994687,0.8980109233428708,0.009815067984163761
25,30672,0.007596504955659885,0.900390593330473,0.007216007448732853
13,44543,0.015355948184899984,0.9063752143531725,0.01409921608865261
33,6343,0.01087813337537443,0.9094976738599142,0.010295162908732891
50,3841,0.01327779224160375,0.9294583268663665,0.011424971744418144
44,5057,0.004943642475776152,0.9425198728139905,0.0046416036784648895
