feature,importance
ruca_code,0.247781
housing_units,0.118841
population,0.052331
fdic_total_branch_deposits_k_chg3yr,0.044561
median_hh_income,0.039264
has_hmda,0.029882
cra_county_top_lender_share_count,0.027829
pct_poverty,0.025552
fdic_branch_count,0.023548
cra_county_count_hhi,0.021850
fdic_branch_count_chg3yr,0.020544
pct_hispanic,0.019535
is_rural,0.017315
is_persistent_poverty,0.017041
pct_minority,0.016487
fdic_bank_count,0.016440
mean_loan_amount,0.014431
fdic_total_branch_deposits_k,0.014423
fdic_total_branch_deposits_k_pctchg3yr,0.013186
n_denied,0.010915
pct_black,0.010506
fdic_deposit_hhi,0.010058
fdic_total_branch_deposits_k_pctchg1yr,0.009643
sum_loan_amount,0.008969
fdic_avg_branch_deposits_k_chg3yr,0.008216
cra_county_amount_hhi,0.008140
pct_vacant,0.007749
n_originated,0.007553
n_white,0.007503
pct_bachelor_plus,0.007392
denial_rate,0.006891
fdic_branch_count_chg1yr,0.006633
n_black,0.006573
fdic_avg_branch_deposits_k,0.006545
approval_rate,0.006543
fdic_top_bank_share_chg3yr,0.006456
fdic_deposit_hhi_chg3yr,0.006242
n_distinct_lenders,0.006113
n_applications,0.006033
cra_county_top_lender_share_amount,0.005821
fdic_total_branch_deposits_k_chg1yr,0.005817
fdic_bank_count_chg3yr,0.005729
fdic_avg_branch_deposits_k_chg1yr,0.005584
fdic_top_bank_share,0.005518
fdic_bank_count_chg1yr,0.005242
n_purchased,0.005056
n_hispanic,0.005015
unemployment_rate,0.004290
n_other_race,0.003939
fdic_top_bank_share_chg1yr,0.003610
n_withdrawn,0.003556
fdic_deposit_hhi_chg1yr,0.003234
n_asian,0.002075
