feature,importance
ruca_code,0.260283
housing_units,0.103903
fdic_bank_count_chg3yr,0.063624
fdic_total_branch_deposits_k_chg3yr,0.043544
median_hh_income,0.039439
cra_county_top_lender_share_count,0.030501
has_hmda,0.029004
population,0.025974
fdic_branch_count,0.025554
n_originated,0.024649
sum_loan_amount,0.022629
cra_county_count_hhi,0.021292
pct_hispanic,0.017947
pct_poverty,0.017181
fdic_branch_count_chg3yr,0.016978
is_rural,0.015366
is_persistent_poverty,0.014290
fdic_total_branch_deposits_k,0.014150
n_applications,0.013019
pct_minority,0.012924
fdic_bank_count,0.012543
mean_loan_amount,0.012427
n_distinct_lenders,0.010234
n_withdrawn,0.009911
n_white,0.009464
fdic_deposit_hhi,0.008987
pct_black,0.008872
pct_bachelor_plus,0.008327
cra_county_amount_hhi,0.008199
pct_vacant,0.008097
fdic_total_branch_deposits_k_chg1yr,0.006595
fdic_top_bank_share_chg3yr,0.006534
cra_county_top_lender_share_amount,0.006519
fdic_total_branch_deposits_k_pctchg1yr,0.006094
fdic_deposit_hhi_chg3yr,0.005747
fdic_avg_branch_deposits_k_chg3yr,0.005730
fdic_bank_count_chg1yr,0.005669
fdic_top_bank_share,0.004648
n_denied,0.004619
n_other_race,0.004445
fdic_total_branch_deposits_k_pctchg3yr,0.004385
fdic_avg_branch_deposits_k,0.003953
fdic_branch_count_chg1yr,0.003696
unemployment_rate,0.003085
approval_rate,0.002812
denial_rate,0.002782
fdic_avg_branch_deposits_k_chg1yr,0.002728
fdic_deposit_hhi_chg1yr,0.002322
fdic_top_bank_share_chg1yr,0.002318
n_hispanic,0.002071
n_asian,0.001482
n_black,0.001374
n_purchased,0.001079
