fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier,test_pos_rate
F1,2009-2014,2015,2016-2018,490067,94843,254537,21,0.9222054999278464,0.4340444940518201,0.8697806672936479,0.14811208642119036,9.179451215337359,0.014861483126878738,0.01613517877558076
F2,2009-2015,2016,2017-2019,584910,85982,248509,161,0.9045905041487725,0.25940033398247553,0.8991630972818885,0.22301785617890882,13.38371031662991,0.014468800276517868,0.016663380400709832
F3,2009-2016,2017,2018-2020,670892,84453,243138,293,0.9001849961179711,0.22566980357293143,0.9055314096155818,0.2281008316380264,15.422686318911698,0.012749324552714825,0.014789954675945348
F4,2009-2017,2018,2019-2021,755345,84102,238084,338,0.8959494692524731,0.16334814637176126,0.8560133280819923,0.23347369965911294,9.035492898185996,0.02260783687233925,0.025839619630046537
F5,2009-2018,2019,2020-2022,839447,79954,236622,80,0.9351579284172611,0.4236095662059414,0.82112649825801,0.1634949658325457,5.566403712982536,0.027455825358629227,0.02937174058202534
F6,2009-2019,2020,2021-2023,919401,79082,234775,58,0.9251227623113147,0.2753031350068802,0.8183057694758951,0.1697130130703012,5.167882314342408,0.031057657673954964,0.032839953146629755
F7,2009-2020,2021,2022-2024,998483,79048,155727,34,0.8308368896617282,0.25319497857027784,0.7990295893396844,0.10539504856325937,4.053557601286909,0.02501787059009075,0.02600062930641443
F8,2009-2021,2022,2023-2024,1077531,78492,77235,115,0.8051240452621758,0.1086518694961219,0.8260637605539322,0.11379936943400512,4.9405813930496825,0.021726300939917564,0.023033598757040204
