feature,importance
ruca_code,0.290894
housing_units,0.122010
fdic_total_branch_deposits_k_chg3yr,0.054529
median_hh_income,0.046232
fdic_branch_count,0.033400
is_rural,0.031321
is_persistent_poverty,0.030101
population,0.026106
cra_county_count_hhi,0.024198
pct_minority,0.023301
cra_county_top_lender_share_count,0.020819
fdic_bank_count,0.016531
pct_hispanic,0.016350
fdic_bank_count_chg3yr,0.015590
pct_poverty,0.015399
fdic_total_branch_deposits_k,0.015286
fdic_deposit_hhi,0.014343
pct_black,0.014176
fdic_deposit_hhi_chg3yr,0.013751
cra_county_amount_hhi,0.013081
fdic_top_bank_share_chg3yr,0.012958
fdic_branch_count_chg3yr,0.012340
fdic_total_branch_deposits_k_pctchg3yr,0.011100
pct_vacant,0.010927
cra_county_top_lender_share_amount,0.010701
fdic_avg_branch_deposits_k,0.010245
fdic_total_branch_deposits_k_chg1yr,0.010177
fdic_avg_branch_deposits_k_chg3yr,0.009966
fdic_bank_count_chg1yr,0.009643
pct_bachelor_plus,0.009276
fdic_total_branch_deposits_k_pctchg1yr,0.008513
fdic_top_bank_share,0.008273
fdic_branch_count_chg1yr,0.007954
fdic_avg_branch_deposits_k_chg1yr,0.007942
fdic_deposit_hhi_chg1yr,0.007595
fdic_top_bank_share_chg1yr,0.007550
unemployment_rate,0.007423
n_white,0.000000
sum_loan_amount,0.000000
n_withdrawn,0.000000
approval_rate,0.000000
n_purchased,0.000000
n_other_race,0.000000
n_originated,0.000000
n_hispanic,0.000000
n_distinct_lenders,0.000000
n_denied,0.000000
n_black,0.000000
n_asian,0.000000
n_applications,0.000000
mean_loan_amount,0.000000
denial_rate,0.000000
has_hmda,0.000000
