feature,importance
ruca_code,0.229441
housing_units,0.129370
median_hh_income,0.049840
fdic_branch_count,0.046194
fdic_bank_count_chg3yr,0.045962
cra_county_top_lender_share_count,0.043160
fdic_total_branch_deposits_k,0.041218
cra_county_count_hhi,0.038043
is_rural,0.036577
is_persistent_poverty,0.029728
fdic_total_branch_deposits_k_chg3yr,0.029588
population,0.024264
pct_minority,0.023559
fdic_avg_branch_deposits_k_chg3yr,0.020275
pct_poverty,0.019353
pct_black,0.017814
pct_hispanic,0.014240
fdic_bank_count,0.014227
fdic_deposit_hhi,0.012751
fdic_bank_count_chg1yr,0.012370
fdic_total_branch_deposits_k_pctchg3yr,0.011991
fdic_total_branch_deposits_k_chg1yr,0.011716
fdic_total_branch_deposits_k_pctchg1yr,0.011596
pct_vacant,0.010431
fdic_top_bank_share_chg3yr,0.009364
fdic_branch_count_chg3yr,0.008867
cra_county_amount_hhi,0.008652
fdic_deposit_hhi_chg3yr,0.007299
fdic_avg_branch_deposits_k,0.007131
fdic_top_bank_share,0.007082
cra_county_top_lender_share_amount,0.006816
fdic_top_bank_share_chg1yr,0.006778
fdic_deposit_hhi_chg1yr,0.005469
fdic_avg_branch_deposits_k_chg1yr,0.004625
fdic_branch_count_chg1yr,0.004208
pct_bachelor_plus,0.000000
approval_rate,0.000000
n_white,0.000000
sum_loan_amount,0.000000
n_withdrawn,0.000000
has_hmda,0.000000
n_purchased,0.000000
n_other_race,0.000000
n_originated,0.000000
n_hispanic,0.000000
n_distinct_lenders,0.000000
n_denied,0.000000
n_black,0.000000
n_asian,0.000000
n_applications,0.000000
mean_loan_amount,0.000000
denial_rate,0.000000
unemployment_rate,0.000000
