feature,importance,fold
pct_loans_from_community_banks_resid,0.036031876,F7
pct_loans_from_top4_banks_resid,0.064491905,F7
pct_loans_from_credit_unions_resid,0.06586328,F7
pct_loans_under_100k_resid,0.01926404,F7
pct_loans_under_250k_resid,0.03868097,F7
top1_lender_share_tract_resid,0.036131483,F7
top3_lender_share_tract_resid,0.060182042,F7
lender_hhi_tract_resid,0.109316036,F7
distance_to_nearest_bank_branch,0.24952878,F7
branches_within_5mi,0.046968613,F7
branch_closures_3y_within_10mi,0.023312261,F7
microloan_intermediary_within_25mi,0.022274,F7
mdi_branches_within_10mi,0.021854075,F7
mdi_branches_within_25mi,0.024129225,F7
nearest_mdi_branch_miles,0.024108615,F7
mdi_active_in_county,0.019487478,F7
ssbci_active,0.06099564,F7
ssbci_2_0_active,0.0,F7
ssbci_program_count,0.03140223,F7
ssbci_n_capital_programs,0.04597747,F7
