feature,importance,fold
pct_loans_from_community_banks_resid,0.023400769,F1
pct_loans_from_top4_banks_resid,0.07111963,F1
pct_loans_from_credit_unions_resid,0.047181778,F1
pct_loans_under_100k_resid,0.017511893,F1
pct_loans_under_250k_resid,0.054389965,F1
top1_lender_share_tract_resid,0.015718067,F1
top3_lender_share_tract_resid,0.036120426,F1
lender_hhi_tract_resid,0.09774718,F1
distance_to_nearest_bank_branch,0.3621312,F1
branches_within_5mi,0.040254634,F1
branch_closures_3y_within_10mi,0.0122308815,F1
microloan_intermediary_within_25mi,0.009275207,F1
mdi_branches_within_10mi,0.06744119,F1
mdi_branches_within_25mi,0.021281337,F1
nearest_mdi_branch_miles,0.03504133,F1
mdi_active_in_county,0.013838788,F1
ssbci_active,0.051385246,F1
ssbci_2_0_active,0.0,F1
ssbci_program_count,0.023930425,F1
ssbci_n_capital_programs,0.0,F1
