feature,importance,fold
pct_loans_from_community_banks_resid,0.030975373,F2
pct_loans_from_top4_banks_resid,0.06849389,F2
pct_loans_from_credit_unions_resid,0.049607806,F2
pct_loans_under_100k_resid,0.019352378,F2
pct_loans_under_250k_resid,0.052829504,F2
top1_lender_share_tract_resid,0.022311447,F2
top3_lender_share_tract_resid,0.0415958,F2
lender_hhi_tract_resid,0.083110355,F2
distance_to_nearest_bank_branch,0.3530134,F2
branches_within_5mi,0.020833327,F2
branch_closures_3y_within_10mi,0.017852984,F2
microloan_intermediary_within_25mi,0.018145485,F2
mdi_branches_within_10mi,0.08034101,F2
mdi_branches_within_25mi,0.024276631,F2
nearest_mdi_branch_miles,0.037084922,F2
mdi_active_in_county,0.0092865825,F2
ssbci_active,0.046972454,F2
ssbci_2_0_active,0.0,F2
ssbci_program_count,0.0239166,F2
ssbci_n_capital_programs,0.0,F2
