feature,importance,fold
pct_loans_from_community_banks_resid,0.03520689,F8
pct_loans_from_top4_banks_resid,0.06542522,F8
pct_loans_from_credit_unions_resid,0.06728357,F8
pct_loans_under_100k_resid,0.019164084,F8
pct_loans_under_250k_resid,0.035976704,F8
top1_lender_share_tract_resid,0.045937195,F8
top3_lender_share_tract_resid,0.07175259,F8
lender_hhi_tract_resid,0.11826068,F8
distance_to_nearest_bank_branch,0.23328768,F8
branches_within_5mi,0.0224252,F8
branch_closures_3y_within_10mi,0.06879626,F8
microloan_intermediary_within_25mi,0.02384542,F8
mdi_branches_within_10mi,0.024147527,F8
mdi_branches_within_25mi,0.028847964,F8
nearest_mdi_branch_miles,0.024286201,F8
mdi_active_in_county,0.016899329,F8
ssbci_active,0.046271093,F8
ssbci_2_0_active,0.0,F8
ssbci_program_count,0.035311814,F8
ssbci_n_capital_programs,0.01687461,F8
