feature,importance,fold
pct_loans_from_community_banks_resid,0.029049234,F6
pct_loans_from_top4_banks_resid,0.06637303,F6
pct_loans_from_credit_unions_resid,0.042666476,F6
pct_loans_under_100k_resid,0.012843704,F6
pct_loans_under_250k_resid,0.03696514,F6
top1_lender_share_tract_resid,0.02284855,F6
top3_lender_share_tract_resid,0.041574825,F6
lender_hhi_tract_resid,0.090777054,F6
distance_to_nearest_bank_branch,0.4209688,F6
branches_within_5mi,0.04943325,F6
branch_closures_3y_within_10mi,0.021428226,F6
microloan_intermediary_within_25mi,0.0135719655,F6
mdi_branches_within_10mi,0.018380027,F6
mdi_branches_within_25mi,0.018868888,F6
nearest_mdi_branch_miles,0.025949901,F6
mdi_active_in_county,0.009114295,F6
ssbci_active,0.041327074,F6
ssbci_2_0_active,0.0,F6
ssbci_program_count,0.02632341,F6
ssbci_n_capital_programs,0.011536214,F6
