feature,importance,fold
pct_loans_from_community_banks_resid,0.021375813,F4
pct_loans_from_top4_banks_resid,0.057085555,F4
pct_loans_from_credit_unions_resid,0.036850076,F4
pct_loans_under_100k_resid,0.012875666,F4
pct_loans_under_250k_resid,0.023321556,F4
top1_lender_share_tract_resid,0.01743412,F4
top3_lender_share_tract_resid,0.032166697,F4
lender_hhi_tract_resid,0.08387824,F4
distance_to_nearest_bank_branch,0.49395022,F4
branches_within_5mi,0.06114327,F4
branch_closures_3y_within_10mi,0.016869316,F4
microloan_intermediary_within_25mi,0.009284042,F4
mdi_branches_within_10mi,0.024195837,F4
mdi_branches_within_25mi,0.017447941,F4
nearest_mdi_branch_miles,0.024253136,F4
mdi_active_in_county,0.01026423,F4
ssbci_active,0.043063775,F4
ssbci_2_0_active,0.0,F4
ssbci_program_count,0.01454048,F4
ssbci_n_capital_programs,0.0,F4
