feature,importance,fold
pct_loans_from_community_banks_resid,0.035339843,F3
pct_loans_from_top4_banks_resid,0.07006422,F3
pct_loans_from_credit_unions_resid,0.05226316,F3
pct_loans_under_100k_resid,0.018849986,F3
pct_loans_under_250k_resid,0.049144737,F3
top1_lender_share_tract_resid,0.025296824,F3
top3_lender_share_tract_resid,0.04903545,F3
lender_hhi_tract_resid,0.09069961,F3
distance_to_nearest_bank_branch,0.3308391,F3
branches_within_5mi,0.037841976,F3
branch_closures_3y_within_10mi,0.018141387,F3
microloan_intermediary_within_25mi,0.019061562,F3
mdi_branches_within_10mi,0.047062773,F3
mdi_branches_within_25mi,0.022683451,F3
nearest_mdi_branch_miles,0.03258017,F3
mdi_active_in_county,0.010674064,F3
ssbci_active,0.05002471,F3
ssbci_2_0_active,0.0,F3
ssbci_program_count,0.02797376,F3
ssbci_n_capital_programs,0.012423126,F3
