fold,train_years,val_year,test_years,n_train,n_val,n_test,best_iter,val_auc,val_ap,test_auc,test_ap,test_ap_lift,test_brier_raw,test_brier_calibrated,test_pos_rate
F1,2009-2014,2015,2016-2017,488147,94584,170106,5,0.8765588316357413,0.3817793775033792,0.8094740316618682,0.13472969740127316,7.941209253687101,0.016431542113423347,0.01563427224755287,0.016965891855666465
F2,2009-2015,2016,2017-2018,582731,85797,168196,36,0.8415815391431251,0.19402232048881568,0.8410897368231394,0.13026057716791517,8.558323452083851,0.014331866055727005,0.014133538119494915,0.015220338176888868
F3,2009-2016,2017,2018-2019,668528,84309,163614,73,0.8701878996178878,0.17831322101075808,0.8501678627538928,0.15297621262773628,10.300020597890716,0.013988673686981201,0.013591721653938293,0.014852029777402912
F4,2009-2017,2018,2019-2020,752837,83887,158588,7,0.7927082305658354,0.06602518974871613,0.8287245593919824,0.16352394177248428,11.182809347914935,0.014113479293882847,0.01345819141715765,0.014622796176255455
F5,2009-2018,2019,2020-2021,836724,79727,157747,4,0.8357026850331198,0.3000190128197474,0.712838260097108,0.1096487025986905,3.863469709366904,0.02747587114572525,0.026778075844049454,0.028380888384565157
F6,2009-2019,2020,2021-2022,916451,78861,157316,34,0.8604935002169307,0.15879238023033923,0.7510872663779445,0.1601575765524953,4.332075191357006,0.03541191294789314,0.035597335547208786,0.03697017468026138
F7,2009-2020,2021,2022-2023,995312,78886,155554,225,0.7803073651234135,0.24042857250507046,0.7803977072420897,0.09446533642394556,3.669028949335937,0.02507418394088745,0.025423672050237656,0.025746686038288953
F8,2009-2021,2022,2023-2024,1074198,78430,77124,219,0.8124670711445333,0.11149358751828303,0.7800505590187854,0.08399047008562022,3.718531007395737,0.02181059680879116,0.021761184558272362,0.02258700274882008
